co2_emissions,gdp,green_invention_patents,green_utility_patents,Factor_1,Factor_2,Factor_3,Factor_4
-0.889346682384136,-0.629348365120781,-0.4678589791283365,-0.474313440681039,-1.7339006411008728,-0.44909863005306283,-0.4663930173420449,0.23768722858193594
-0.8975607760729345,-0.6075706773626613,-0.4515535273751914,-0.4519013354863714,-1.669712543707817,-0.46866115388993795,-0.35263090954820236,0.3423629034250915
-0.8488542520099259,-0.5815174726103712,-0.425513477560467,-0.44515360489012734,-1.3926140933536124,-0.47608301796361896,-0.5078178366008307,0.24135692026816735
-0.7991375989344079,-0.5329282457473502,-0.3987433328911242,-0.4393698358076325,-1.2971205271232784,-0.4723709757122379,-0.5858084493255574,0.04010028154433572
-0.7299664423431882,-0.469800400160953,-0.38195115123490003,-0.41527079796390387,-1.1829546428678703,-0.527492243445844,-0.5117666510942058,0.07057956373482052
-0.6990750102594255,-0.41911761220176574,-0.32403029276850376,-0.3863519525514295,-1.0327034657298408,-0.4907184388272223,-0.49601868075400884,-0.05929287939757611
-0.6588867855497501,-0.3527470730953067,-0.271950193139055,-0.37936323157674817,-0.9002119117004399,-0.5213150314362985,-0.5515979242065444,0.010694999738747296
-0.6476918034529647,-0.24321195654389272,-0.19723715301643455,-0.34490160746021625,-0.35667170380709207,-0.5472671526676331,-0.9752361013214335,-0.022801078662133684
-0.621345792332172,-0.16424748435449624,-0.14296676882313045,-0.2730864746859049,-0.2473525022499084,-0.5202856676941645,-0.912520429546188,-0.01740368921923252
-0.5503986325061232,-0.10356677907161772,-0.07044401326436536,-0.18416102504254628,-0.5478723647368768,-0.5364579565577033,-0.602735419797319,-0.1441826270454467
-0.4727111141673141,-0.004090060497784359,0.0210612085144792,-0.12776927648822128,-0.33145888357448094,-0.5074329356029502,-0.40864325395454115,-0.05689315350869136
-0.4426674314783142,0.0929813889944537,0.10088491261942871,-0.06848564339264886,0.005434756027884433,-0.4911571981763927,-0.6052428914202308,0.015129087478656445
-0.42189268366618576,0.15666286518183722,0.18898302507672055,0.008631277707282767,-0.0818076841173064,-0.4992715554175091,-0.5756424326105521,-0.07461672771597924
