省,省代码,年份,CO2排放量_吨
山西省,140000,1974,40077030.09
陕西省,610000,1974,30937064.09
上海市,310000,1974,24789013.39
四川省,510000,1974,35771711
台湾省,710000,1974,39151562.58
天津市,120000,1974,18264106.14
西藏自治区,540000,1974,3203984.382
香港特别行政区,810000,1974,10464645.71
新疆维吾尔自治区,650000,1974,32313676.9
云南省,530000,1974,19778767.54
浙江省,330000,1974,18972806.62
重庆市,500000,1974,11962636.5
安徽省,340000,1975,43482094.1
澳门特别行政区,820000,1975,227465.5648
北京市,110000,1975,30528798.91
福建省,350000,1975,17988364.27
甘肃省,620000,1975,33324324.11
广东省,440000,1975,45435057.05
广西壮族自治区,450000,1975,27765988.88
贵州省,520000,1975,18451298.45
海南省,460000,1975,4216784.749
河北省,130000,1975,71339628.48
河南省,410000,1975,76966559.39
黑龙江省,230000,1975,55447712.67
湖北省,420000,1975,42403529.44
湖南省,430000,1975,33102826.69
吉林省,220000,1975,34481576.03
江苏省,320000,1975,74770451.75
江西省,360000,1975,22874539.8
辽宁省,210000,1975,69099654.25
内蒙古自治区,150000,1975,40505019.32
宁夏回族自治区,640000,1975,10706632.21
青海省,630000,1975,6053926.581
山东省,370000,1975,147475401.7
山西省,140000,1975,45449074.41
陕西省,610000,1975,35015304.18
上海市,310000,1975,28200353.28
四川省,510000,1975,40982184.82
台湾省,710000,1975,42279415.76
天津市,120000,1975,20751917.58
西藏自治区,540000,1975,3563777.43
香港特别行政区,810000,1975,10396829.75
新疆维吾尔自治区,650000,1975,36934792.02
云南省,530000,1975,22703688.68
浙江省,330000,1975,22012973.21
重庆市,500000,1975,13624818.44
安徽省,340000,1976,44882905.22
澳门特别行政区,820000,1976,232009.1988
北京市,110000,1976,31814444.79
福建省,350000,1976,18782826.83
甘肃省,620000,1976,34562199.71
广东省,440000,1976,47177115.56
广西壮族自治区,450000,1976,29737747.2
贵州省,520000,1976,18681898.43
海南省,460000,1976,4388696.978
河北省,130000,1976,75882913.85
河南省,410000,1976,79348500.36
