co2_emissions,gdp,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance
43133076.5,3328,425,297,0.022,0.068,0.238,0.01,0.035,0.032,12.104
43311434.79,3935.4,425,304,0.023,0.072,0.155,0.01,0.039,0.031,8.844
45715663.79,4634.9,594,363,0.025,0.078,0.155,0.011,0.038,0.035,7.485
49524960.71,5400.1,715,378,0.025,0.076,0.128,0.012,0.04,0.034,6.578
54575775.19,6424.1,785,391,0.029,0.081,0.108,0.017,0.039,0.037,6.016
60665551.72,7327.4,1047,435,0.027,0.084,0.117,0.013,0.043,0.038,5.169
63899288.38,8618.9,1228,620,0.03,0.091,0.109,0.014,0.05,0.039,4.857
63753557.37,10730.4,1638,712,0.033,0.099,0.104,0.016,0.05,0.047,4.002
63535280.7,12167.6,2444,1074,0.034,0.101,0.107,0.016,0.052,0.049,3.755
66557701.46,13335.7,2728,1545,0.033,0.102,0.106,0.025,0.054,0.048,3.768
72923448.49,15420.2,3450,1795,0.033,0.11,0.096,0.024,0.058,0.052,3.134
75572433.96,17653.3,4394,2288,0.038,0.107,0.082,0.037,0.056,0.047,2.912
78344338.98,19568.3,5238,2886,0.035,0.112,0.083,0.042,0.061,0.051,2.586
78136552.06,21746,7547,4652,0.039,0.112,0.075,0.063,0.06,0.049,2.344
79475485.6,23577.5,9325,5428,0.041,0.122,0.083,0.073,0.066,0.056,2.301
80420685.95,26034.1,10666,6034,0.037,0.119,0.064,0.122,0.058,0.052,2.371
74134216.64,28438.7,12050,6585,0.039,0.121,0.074,0.145,0.062,0.052,2.088
76233830.49,31325.9,13973,7179,0.047,0.128,0.074,0.183,0.071,0.057,2.063
77704186.72,35161.4,17238,7673,0.049,0.138,0.077,0.139,0.075,0.059,1.923
78044413.08,37767,17833,7536,0.047,0.128,0.058,0.1,0.064,0.057,1.657
77630137.1,38503.6,19783,9047,0.045,0.14,0.064,0.091,0.072,0.065,1.734
80102176.49,44350.7,23679,8318,0.052,0.14,0.047,0.073,0.071,0.066,1.441
77157245.19,45222.4,26278,7540,0.051,0.138,0.048,0.073,0.071,0.066,1.442
82272659.93,47353.7,25516,6753,0.051,0.135,0.047,0.074,0.07,0.068,1.416
60578928.07,1769.2,43,72,0.024,0.073,0.327,0.014,0.036,0.033,7.988
65226914.92,1921.7,47,46,0.025,0.071,0.241,0.014,0.034,0.033,7.668
70295081.5,2067.3,47,75,0.025,0.077,0.244,0.016,0.042,0.036,6.211
77726607.62,2169.7,64,69,0.025,0.083,0.276,0.019,0.044,0.037,6.278
84110452.24,2487.7,47,72,0.028,0.08,0.267,0.021,0.041,0.038,5.633
92283947.8,2810.1,67,94,0.029,0.087,0.252,0.019,0.046,0.043,5.03
98020505.65,3271.5,78,87,0.03,0.092,0.24,0.019,0.046,0.039,4.453
106402294.4,4134.7,112,124,0.03,0.095,0.212,0.014,0.048,0.045,3.616
102254998.8,4905.4,125,151,0.031,0.098,0.161,0.022,0.051,0.045,2.936
120920656.4,5515.3,166,239,0.032,0.103,0.182,0.024,0.052,0.049,2.438
137894748.2,6505.9,215,211,0.036,0.106,0.151,0.032,0.053,0.051,2.634
153019050.1,7857.7,218,229,0.033,0.101,0.101,0.042,0.056,0.046,1.899
155707615.3,8831.3,278,258,0.036,0.112,0.106,0.05,0.055,0.051,1.849
158632916.9,9608.6,302,264,0.039,0.114,0.101,0.06,0.058,0.056,2.003
158808834.5,10077,369,342,0.035,0.116,0.105,0.059,0.061,0.052,1.559
152188368.2,10162.9,451,502,0.038,0.129,0.11,0.046,0.067,0.055,1.81
149386010.1,10603.5,579,595,0.038,0.119,0.127,0.048,0.061,0.054,1.684
150666328,11083,791,798,0.046,0.137,0.113,0.046,0.07,0.061,1.687
159117710.1,11437.4,917,861,0.042,0.131,0.144,0.039,0.066,0.058,1.839
159133429.3,11949.4,1136,1124,0.042,0.132,0.147,0.051,0.065,0.061,2.514
157648580.5,12499.5,1228,1358,0.05,0.144,0.166,0.039,0.069,0.061,2.361
162555518.4,13431.1,1324,1456,0.051,0.149,0.178,0.032,0.079,0.072,2.312
160051499.7,13121.4,1860,1101,0.051,0.147,0.18,0.033,0.08,0.073,2.502
170404483.8,13942.7,2082,1123,0.051,0.147,0.18,0.033,0.08,0.073,2.572
108654585.9,3975.6,59,85,0.023,0.072,0.122,0.019,0.038,0.031,3.914
111107719.6,4350.5,63,87,0.027,0.076,0.149,0.02,0.04,0.032,3.316
115845806.2,4790.5,103,119,0.029,0.077,0.147,0.02,0.039,0.035,3.29
126520730.6,5422.7,95,123,0.03,0.083,0.126,0.026,0.041,0.04,2.718
144673797.8,6395.8,99,148,0.029,0.081,0.124,0.019,0.045,0.039,2.66
168215305.3,7287.4,152,174,0.029,0.088,0.116,0.029,0.046,0.039,2.424
187790383.1,8602.1,243,299,0.03,0.086,0.09,0.029,0.046,0.037,2.064
209899226.4,10694.5,257,282,0.03,0.094,0.098,0.034,0.048,0.044,1.826
210783247.9,12941.4,280,392,0.034,0.101,0.084,0.038,0.053,0.044,1.466
217217775.4,14396.2,435,645,0.034,0.099,0.086,0.055,0.055,0.048,1.579
227612295.4,17466.7,630,941,0.036,0.105,0.077,0.057,0.056,0.046,1.107
255342619,21313.1,786,1095,0.033,0.106,0.063,0.053,0.056,0.047,0.941
260054191.3,24224.9,1430,1886,0.039,0.109,0.051,0.063,0.054,0.051,0.928
267196246.6,26858.4,1755,1727,0.036,0.114,0.063,0.059,0.057,0.053,0.909
264785405.2,29357.5,2074,2020,0.035,0.114,0.05,0.064,0.056,0.054,0.933
258202581.2,30829.1,3623,3114,0.04,0.125,0.06,0.064,0.062,0.054,0.863
253662732.9,33879.2,5039,3506,0.044,0.133,0.049,0.054,0.067,0.062,0.735
253441542.5,38517.1,6250,4901,0.044,0.128,0.052,0.064,0.069,0.059,0.742
257759074.9,43539,6080,4892,0.044,0.126,0.044,0.091,0.064,0.056,0.593
253486126.2,47168.6,4264,5782,0.048,0.135,0.04,0.091,0.074,0.062,0.607
249253774.6,49445.1,4778,7520,0.052,0.143,0.047,0.092,0.077,0.065,0.647
268385937.1,55131.3,4659,5716,0.044,0.145,0.046,0.067,0.073,0.07,0.495
263363191.4,57609.4,5351,5154,0.044,0.141,0.046,0.068,0.073,0.07,0.515
278601939.3,61353.4,5906,5507,0.044,0.143,0.046,0.068,0.073,0.07,0.529
47741953.04,1608.4,32,81,0.021,0.066,0.308,0.002,0.036,0.032,9.74
51193703.78,1778.3,40,78,0.026,0.075,0.322,0.002,0.039,0.036,7.846
53101506.55,1952.3,73,83,0.026,0.078,0.251,0.003,0.039,0.033,7.704
57383888.99,2288.7,219,127,0.028,0.079,0.259,0.004,0.043,0.038,5.988
62326363.59,2663.3,143,114,0.026,0.082,0.206,0.004,0.042,0.038,5.735
81987471.61,3203.6,173,125,0.026,0.084,0.194,0.004,0.042,0.037,3.905
83839460.98,3592.5,284,210,0.029,0.091,0.176,0.004,0.048,0.039,3.931
85655154.76,4229.8,354,293,0.033,0.093,0.185,0.003,0.047,0.041,3.892
88093846.08,5278.3,290,285,0.033,0.096,0.176,0.006,0.051,0.046,3.322
106989661.5,5828.6,419,423,0.032,0.099,0.154,0.007,0.051,0.044,2.434
118707038,6991.6,535,555,0.036,0.105,0.111,0.013,0.053,0.047,2.012
123786522.2,8240.8,791,811,0.034,0.104,0.105,0.015,0.052,0.048,1.912
125890653.6,9193,1109,1210,0.041,0.11,0.121,0.017,0.059,0.05,1.771
129313933,10075.2,1576,1398,0.04,0.119,0.105,0.022,0.062,0.05,1.757
133682904.5,10749.2,1570,1775,0.037,0.12,0.113,0.026,0.06,0.057,1.587
128492738.9,10889.2,2414,3025,0.037,0.117,0.084,0.026,0.065,0.052,1.331
124757728.4,11487,3245,3472,0.038,0.128,0.09,0.022,0.067,0.057,1.57
125890652.3,12468.2,2673,4121,0.045,0.132,0.104,0.044,0.069,0.063,1.538
136320006.2,13411.1,2807,4321,0.046,0.129,0.081,0.024,0.065,0.057,1.404
142040963.6,14097.2,2693,4720,0.05,0.139,0.163,0.078,0.072,0.064,1.876
139935786.1,14230.8,2610,6132,0.043,0.131,0.125,0.02,0.067,0.059,1.748
144835939.7,16093.2,2538,4153,0.048,0.141,0.123,0.017,0.076,0.063,1.707
143018498.1,16588.5,2548,3564,0.047,0.14,0.122,0.017,0.076,0.063,1.597
151678325.1,17211.8,2754,3521,0.047,0.14,0.123,0.017,0.075,0.063,1.513
31782303.35,297.7,8,8,0.022,0.071,2.185,0.004,0.035,0.03,27.819
32949584.48,341.5,11,10,0.024,0.073,1.84,0.005,0.037,0.035,17.55
37258514.68,381.8,5,9,0.026,0.077,1.75,0.005,0.037,0.036,22.714
44936720.58,448.4,7,8,0.03,0.084,1.703,0.005,0.043,0.039,16.443
51104224,527.3,6,13,0.03,0.083,1.37,0.005,0.043,0.04,12.573
56099787.56,587.2,2,19,0.028,0.083,1.371,0.005,0.046,0.037,11.28
70225417.48,691.6,16,17,0.032,0.091,1.371,0.006,0.049,0.042,8.725
76330668.55,887.9,6,17,0.032,0.095,1.086,0.007,0.05,0.042,7.726
75427806.34,1153.7,16,20,0.031,0.095,0.889,0.009,0.048,0.043,8.01
82026356.72,1284.8,12,23,0.037,0.103,0.921,0.009,0.055,0.047,6.772
107014483.7,1595.3,31,39,0.036,0.097,0.67,0.017,0.05,0.044,6.935
126847172.8,1959.3,41,39,0.036,0.107,0.649,0.018,0.053,0.051,5.008
124387524.5,2162,66,73,0.035,0.109,0.503,0.016,0.06,0.052,2.772
128478800.2,2364.9,166,92,0.039,0.121,0.543,0.012,0.06,0.055,3.505
125261185,2516.4,115,105,0.036,0.118,0.577,0.014,0.06,0.056,3.36
120370764.8,2644.7,126,156,0.041,0.114,0.558,0.02,0.061,0.052,3.459
122322237.2,2853.3,158,297,0.043,0.128,0.646,0.014,0.063,0.056,3.19
142427148.1,3271.6,203,414,0.043,0.138,0.51,0.023,0.069,0.062,2.153
154912319.7,3580.6,345,564,0.044,0.131,0.576,0.023,0.067,0.056,2.422
174003965.4,3841.5,320,610,0.045,0.133,0.462,0.019,0.069,0.061,2.145
174305461.3,4036.2,425,916,0.044,0.145,0.518,0.015,0.069,0.063,2.926
188879868.4,4666.5,454,885,0.047,0.142,0.453,0.014,0.07,0.067,2.508
191617159.6,5168.1,520,859,0.047,0.146,0.455,0.014,0.07,0.066,2.47
201084696.6,5368.8,601,912,0.046,0.144,0.454,0.015,0.072,0.065,2.579
144342900.7,3162.3,26,34,0.024,0.068,0.19,0.013,0.037,0.033,4.887
152599784.5,3547.7,22,37,0.023,0.072,0.166,0.015,0.037,0.033,4.27
159799154.3,3882.3,31,54,0.023,0.072,0.144,0.019,0.04,0.034,4.868
177350080.1,4375,47,80,0.025,0.079,0.174,0.012,0.039,0.036,4.24
197213866.2,5210.9,42,59,0.029,0.087,0.171,0.015,0.043,0.041,3.333
226390503,5761.7,88,82,0.028,0.09,0.167,0.015,0.045,0.04,3.171
248580760,6602.6,101,128,0.029,0.09,0.151,0.022,0.05,0.044,2.986
285447471.3,8078,143,124,0.029,0.093,0.107,0.017,0.051,0.045,2.596
322314417.6,9691.2,210,192,0.032,0.092,0.118,0.025,0.046,0.043,2.477
334870311.6,11063.3,339,385,0.036,0.104,0.119,0.025,0.053,0.046,2.109
358503105.6,13474.6,431,707,0.035,0.103,0.073,0.031,0.053,0.044,1.605
389163956.8,16532.7,672,996,0.034,0.107,0.071,0.034,0.058,0.046,1.264
402870381.9,18613.7,1046,1677,0.037,0.107,0.081,0.048,0.054,0.047,1.28
432133808.6,20888.2,1451,1669,0.036,0.111,0.069,0.042,0.056,0.049,1.062
439745963.8,22880.7,2301,2060,0.038,0.119,0.08,0.045,0.061,0.053,0.999
444211403.6,24142.7,3838,3038,0.04,0.115,0.075,0.056,0.056,0.055,0.96
447562126,26801.2,6267,3349,0.04,0.126,0.064,0.045,0.065,0.059,1.036
453812967.8,30141.8,7352,3975,0.038,0.123,0.061,0.08,0.067,0.06,0.883
492192397.8,34377.3,9553,4335,0.043,0.131,0.062,0.075,0.067,0.059,0.766
493113574,37584.8,6000,5472,0.046,0.138,0.052,0.109,0.073,0.068,0.645
491921365.1,38628.8,7276,7019,0.046,0.144,0.05,0.065,0.07,0.066,0.696
517951754.2,43102.8,6509,6788,0.042,0.139,0.049,0.071,0.075,0.062,0.748
