uid,province_id,province,year,co2_emissions,gdp,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance,gfindex,green_finance_pilot
6111,12,Shaanxi,2011,279156526.4,12320.1,1253,574,0.036,0.106,0.101,0.044,0.055,0.05,2.534,0.249,0
6112,12,Shaanxi,2012,278889075.5,14311.5,1766,1052,0.036,0.116,0.113,0.042,0.059,0.052,2.377,0.342,0
6113,12,Shaanxi,2013,296454483.6,16106.3,1949,1181,0.036,0.109,0.077,0.053,0.058,0.05,2.245,0.16,0
6114,12,Shaanxi,2014,293576358.9,17635.6,1834,1160,0.042,0.121,0.091,0.046,0.066,0.054,2.251,0.372,0
6115,12,Shaanxi,2015,297184972.4,18188.3,1413,1589,0.038,0.124,0.093,0.064,0.064,0.056,2.04,0.318,0
6116,12,Shaanxi,2016,295280449.9,19354.6,1736,1814,0.042,0.122,0.082,0.047,0.061,0.059,2.172,0.249,0
6117,12,Shaanxi,2017,298113446.5,21776.1,3575,2315,0.041,0.124,0.085,0.055,0.063,0.056,1.777,0.184,0
6118,12,Shaanxi,2018,327794510.8,24354.8,3121,2424,0.043,0.134,0.08,0.065,0.074,0.062,1.72,0.324,0
6119,12,Shaanxi,2019,347842949.6,26214.5,3715,3517,0.042,0.13,0.068,0.103,0.069,0.06,1.57,0.201,0
6120,12,Shaanxi,2020,360443411.2,26297,3851,4841,0.046,0.132,0.084,0.077,0.066,0.058,1.558,0.165,0
6121,12,Shaanxi,2021,384606805.3,30476.6,4160,4224,0.045,0.136,0.072,0.066,0.071,0.061,1.503,0.18,0
6122,12,Shaanxi,2022,385799154.6,33035.6,4369,4064,0.045,0.134,0.07,0.066,0.072,0.06,1.472,0.168,0
6123,12,Shaanxi,2023,427613190.9,33976.5,4572,4356,0.047,0.137,0.071,0.066,0.073,0.06,1.53,0.215,0
4400,13,Guangdong,2000,243059512.2,10958.4,116,222,0.022,0.066,0.05,0.01,0.034,0.03,2.919,0.147,0
4401,13,Guangdong,2001,252345786.4,12319.2,153,287,0.023,0.069,0.047,0.01,0.036,0.03,2.754,0.107,0
4402,13,Guangdong,2002,265486402.1,13848.6,232,360,0.025,0.079,0.051,0.011,0.041,0.037,2.517,0.314,0
4403,13,Guangdong,2003,305345034.3,16286.6,321,505,0.027,0.078,0.043,0.011,0.04,0.036,2.206,0.231,0
4404,13,Guangdong,2004,348366777.7,18994,461,592,0.03,0.083,0.04,0.011,0.042,0.041,1.973,0.299,0
4405,13,Guangdong,2005,371462010.5,22366.1,695,785,0.028,0.088,0.041,0.016,0.049,0.041,1.657,0.323,0
4406,13,Guangdong,2006,383360096.6,26403.1,970,954,0.029,0.094,0.039,0.015,0.05,0.042,1.446,0.37,0
4407,13,Guangdong,2007,392957070.6,32308.5,1155,1181,0.028,0.089,0.028,0.014,0.048,0.043,1.27,0.157,0
4408,13,Guangdong,2008,397043715.1,37351.5,1479,1511,0.031,0.094,0.024,0.023,0.046,0.042,1.108,0.157,0
4409,13,Guangdong,2009,420275364.5,40215.7,2240,1986,0.031,0.094,0.021,0.054,0.052,0.046,1.162,0.198,0
4410,13,Guangdong,2010,462201726.2,46821.3,2797,2859,0.033,0.104,0.024,0.101,0.053,0.047,0.962,0.279,0
4411,13,Guangdong,2011,519080536.8,54009.6,3175,3497,0.034,0.109,0.021,0.111,0.055,0.047,0.893,0.258,0
4412,13,Guangdong,2012,528102851,58057.6,4223,4524,0.04,0.114,0.024,0.095,0.061,0.051,0.822,0.45,0
4413,13,Guangdong,2013,551722950.7,63757.3,5493,5053,0.039,0.111,0.02,0.123,0.059,0.049,0.776,0.272,0
4414,13,Guangdong,2014,552862327.2,69593.4,5926,6277,0.04,0.112,0.022,0.1,0.057,0.05,0.729,0.239,0
4415,13,Guangdong,2015,546155407.9,75820.8,8161,9119,0.04,0.124,0.021,0.126,0.062,0.052,0.749,0.319,0
4416,13,Guangdong,2016,548850883.3,83493.4,12767,12327,0.039,0.125,0.021,0.115,0.064,0.057,0.683,0.26,0
4417,13,Guangdong,2017,550385185.1,93004.8,17502,18834,0.039,0.126,0.019,0.18,0.065,0.058,0.605,0.315,1
4418,13,Guangdong,2018,571610771.8,101875.9,22807,21962,0.042,0.137,0.02,0.199,0.073,0.064,0.587,0.448,1
4419,13,Guangdong,2019,578728114.7,110468.1,21191,25154,0.041,0.133,0.019,0.269,0.069,0.062,0.547,0.307,1
4420,13,Guangdong,2020,600455997.4,113708.9,22988,31283,0.049,0.148,0.02,0.166,0.076,0.065,0.548,0.513,1
4421,13,Guangdong,2021,640688595.7,127577.4,25518,26552,0.048,0.143,0.019,0.172,0.074,0.061,0.517,0.346,1
4422,13,Guangdong,2022,634197577.8,132547.1,25260,23173,0.049,0.139,0.019,0.17,0.074,0.06,0.457,0.326,1
4423,13,Guangdong,2023,690722545.8,137905.4,26996,21662,0.049,0.137,0.02,0.167,0.073,0.061,0.396,0.319,1
4500,14,Guangxi,2000,94638537.65,2096.7,22,41,0.02,0.065,0.213,0.008,0.033,0.031,9.822,0.109,0
4501,14,Guangxi,2001,99131711.52,2302.8,25,33,0.023,0.074,0.301,0.008,0.038,0.036,9.386,0.324,0
4502,14,Guangxi,2002,104441868.3,2552.8,37,48,0.026,0.072,0.211,0.011,0.036,0.035,9.932,0.198,0
4503,14,Guangxi,2003,119919257.2,2833.6,37,44,0.027,0.076,0.217,0.01,0.039,0.035,9.751,0.187,0
4504,14,Guangxi,2004,147368503.6,3348.9,38,59,0.028,0.083,0.223,0.013,0.044,0.038,7.77,0.289,0
4505,14,Guangxi,2005,166502112.2,3789.5,57,70,0.028,0.084,0.207,0.009,0.042,0.037,6.648,0.157,0
4506,14,Guangxi,2006,178175351.7,4479.8,52,79,0.032,0.091,0.235,0.014,0.046,0.043,6.203,0.342,0
4507,14,Guangxi,2007,212773709,5556.4,86,90,0.029,0.092,0.172,0.007,0.05,0.04,4.796,0.16,0
4508,14,Guangxi,2008,215478454,6561.9,109,90,0.029,0.091,0.149,0.014,0.046,0.045,4.743,0.148,0
4509,14,Guangxi,2009,231890162.2,7243.4,124,105,0.036,0.101,0.15,0.027,0.053,0.046,4.324,0.301,0
4510,14,Guangxi,2010,245827226.4,8712,186,168,0.037,0.106,0.127,0.03,0.055,0.049,3.517,0.334,0
4511,14,Guangxi,2011,270331736.2,10472.7,247,187,0.034,0.102,0.083,0.026,0.051,0.046,2.851,0.098,0
4512,14,Guangxi,2012,288017884.9,11496.6,616,327,0.035,0.109,0.102,0.029,0.057,0.051,2.879,0.202,0
4513,14,Guangxi,2013,296261237,12680.6,997,389,0.04,0.109,0.087,0.027,0.054,0.048,2.432,0.139,0
4514,14,Guangxi,2014,299701114.7,13856.7,1554,507,0.038,0.123,0.092,0.029,0.062,0.052,2.474,0.269,0
4515,14,Guangxi,2015,293584696.5,15030.2,1988,639,0.038,0.119,0.092,0.042,0.063,0.052,2.265,0.209,0
4516,14,Guangxi,2016,309446125.6,16417.2,2812,727,0.038,0.122,0.08,0.038,0.062,0.054,2.068,0.131,0
4517,14,Guangxi,2017,312652722.9,18071.7,2812,1069,0.043,0.124,0.102,0.03,0.062,0.055,2.331,0.162,0
4518,14,Guangxi,2018,322487515.5,19951.7,1872,1260,0.048,0.138,0.113,0.031,0.072,0.063,1.943,0.362,0
4519,14,Guangxi,2019,322055421.5,21341.5,1275,1510,0.047,0.134,0.096,0.033,0.071,0.064,2.185,0.289,0
4520,14,Guangxi,2020,333517935,22250.7,1575,2001,0.044,0.14,0.098,0.036,0.076,0.067,2.122,0.308,0
4521,14,Guangxi,2021,350229253.8,25311.5,1747,1700,0.045,0.144,0.084,0.025,0.07,0.062,1.898,0.183,0
4522,14,Guangxi,2022,351706953.2,26419.7,1870,1586,0.045,0.147,0.085,0.025,0.068,0.063,1.788,0.191,0
4523,14,Guangxi,2023,371606525,27501.7,1989,1445,0.045,0.151,0.085,0.024,0.069,0.065,1.731,0.219,0
6500,15,Xinjiang,2000,69036445.42,1374.1,12,27,0.023,0.067,0.357,0.011,0.033,0.03,2.993,0.182,0
6501,15,Xinjiang,2001,73178228.91,1506,16,26,0.021,0.072,0.398,0.01,0.036,0.032,5.136,0.202,0
6502,15,Xinjiang,2002,77913871.28,1630.5,12,38,0.028,0.081,0.488,0.013,0.042,0.036,3.026,0.485,0
6503,15,Xinjiang,2003,90159507.15,1909.3,26,40,0.028,0.082,0.348,0.012,0.043,0.037,4.702,0.403,0
6504,15,Xinjiang,2004,104182146.6,2193.2,15,24,0.029,0.087,0.375,0.011,0.046,0.038,2.336,0.38,0
6505,15,Xinjiang,2005,115253805.1,2543,25,43,0.03,0.085,0.337,0.014,0.042,0.04,2.776,0.285,0
6506,15,Xinjiang,2006,127684527.8,2984.5,32,27,0.032,0.089,0.266,0.013,0.046,0.039,2.655,0.269,0
6507,15,Xinjiang,2007,134008350.7,3536.4,38,57,0.03,0.095,0.28,0.012,0.049,0.04,2.983,0.229,0
6508,15,Xinjiang,2008,145184808.2,4183.9,45,75,0.034,0.103,0.247,0.014,0.051,0.047,2.394,0.432,0
6509,15,Xinjiang,2009,152750016.4,4289.5,59,88,0.036,0.104,0.292,0.018,0.056,0.047,1.907,0.381,0
6510,15,Xinjiang,2010,173836364.8,5425.4,75,130,0.031,0.098,0.194,0.026,0.052,0.047,1.432,0.156,0
6511,15,Xinjiang,2011,213078279.2,6607.6,129,118,0.037,0.11,0.196,0.025,0.056,0.052,1.857,0.321,0
6512,15,Xinjiang,2012,241425313.4,7499.5,124,203,0.036,0.116,0.165,0.025,0.058,0.052,1.011,0.325,0
6513,15,Xinjiang,2013,274916757.4,8518.4,165,239,0.04,0.116,0.161,0.027,0.063,0.054,0.88,0.37,0
6514,15,Xinjiang,2014,323158537.9,9400.2,207,283,0.04,0.113,0.157,0.027,0.06,0.054,1.228,0.257,0
6515,15,Xinjiang,2015,343654905.8,9545.7,285,425,0.046,0.129,0.174,0.024,0.067,0.06,0.93,0.46,0
6516,15,Xinjiang,2016,360881132.2,9913.9,357,581,0.042,0.126,0.223,0.024,0.069,0.059,1.389,0.338,0
6517,15,Xinjiang,2017,391907132.5,11460.8,378,782,0.045,0.13,0.19,0.017,0.07,0.06,1,0.349,1
6518,15,Xinjiang,2018,419497542.1,13110.1,438,666,0.047,0.13,0.185,0.033,0.067,0.064,0.701,0.293,1
6519,15,Xinjiang,2019,432814780.4,14024.9,580,950,0.047,0.139,0.134,0.032,0.073,0.061,0.656,0.324,1
6520,15,Xinjiang,2020,445711027.8,14262.2,554,1312,0.049,0.132,0.142,0.032,0.073,0.063,0.738,0.262,1
