uid,province_id,province,year,co2_emissions,gdp,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance,gfindex,green_finance_pilot
1106,4,Beijing,2006,63899288.38,8618.9,1228,620,0.03,0.091,0.109,0.014,0.05,0.039,4.857,0.312,0
1107,4,Beijing,2007,63753557.37,10730.4,1638,712,0.033,0.099,0.104,0.016,0.05,0.047,4.002,0.381,0
1108,4,Beijing,2008,63535280.7,12167.6,2444,1074,0.034,0.101,0.107,0.016,0.052,0.049,3.755,0.432,0
1109,4,Beijing,2009,66557701.46,13335.7,2728,1545,0.033,0.102,0.106,0.025,0.054,0.048,3.768,0.275,0
1110,4,Beijing,2010,72923448.49,15420.2,3450,1795,0.033,0.11,0.096,0.024,0.058,0.052,3.134,0.349,0
1111,4,Beijing,2011,75572433.96,17653.3,4394,2288,0.038,0.107,0.082,0.037,0.056,0.047,2.912,0.276,0
1112,4,Beijing,2012,78344338.98,19568.3,5238,2886,0.035,0.112,0.083,0.042,0.061,0.051,2.586,0.282,0
1113,4,Beijing,2013,78136552.06,21746,7547,4652,0.039,0.112,0.075,0.063,0.06,0.049,2.344,0.248,0
1114,4,Beijing,2014,79475485.6,23577.5,9325,5428,0.041,0.122,0.083,0.073,0.066,0.056,2.301,0.421,0
1115,4,Beijing,2015,80420685.95,26034.1,10666,6034,0.037,0.119,0.064,0.122,0.058,0.052,2.371,0.244,0
1116,4,Beijing,2016,74134216.64,28438.7,12050,6585,0.039,0.121,0.074,0.145,0.062,0.052,2.088,0.222,0
1117,4,Beijing,2017,76233830.49,31325.9,13973,7179,0.047,0.128,0.074,0.183,0.071,0.057,2.063,0.457,0
1118,4,Beijing,2018,77704186.72,35161.4,17238,7673,0.049,0.138,0.077,0.139,0.075,0.059,1.923,0.465,0
1119,4,Beijing,2019,78044413.08,37767,17833,7536,0.047,0.128,0.058,0.1,0.064,0.057,1.657,0.204,0
1120,4,Beijing,2020,77630137.1,38503.6,19783,9047,0.045,0.14,0.064,0.091,0.072,0.065,1.734,0.319,0
1121,4,Beijing,2021,80102176.49,44350.7,23679,8318,0.052,0.14,0.047,0.073,0.071,0.066,1.441,0.281,0
1122,4,Beijing,2022,77157245.19,45222.4,26278,7540,0.051,0.138,0.048,0.073,0.071,0.066,1.442,0.287,0
1123,4,Beijing,2023,82272659.93,47353.7,25516,6753,0.051,0.135,0.047,0.074,0.07,0.068,1.416,0.276,0
2200,5,Jilin,2000,60578928.07,1769.2,43,72,0.024,0.073,0.327,0.014,0.036,0.033,7.988,0.364,0
2201,5,Jilin,2001,65226914.92,1921.7,47,46,0.025,0.071,0.241,0.014,0.034,0.033,7.668,0.238,0
2202,5,Jilin,2002,70295081.5,2067.3,47,75,0.025,0.077,0.244,0.016,0.042,0.036,6.211,0.349,0
2203,5,Jilin,2003,77726607.62,2169.7,64,69,0.025,0.083,0.276,0.019,0.044,0.037,6.278,0.379,0
2204,5,Jilin,2004,84110452.24,2487.7,47,72,0.028,0.08,0.267,0.021,0.041,0.038,5.633,0.28,0
2205,5,Jilin,2005,92283947.8,2810.1,67,94,0.029,0.087,0.252,0.019,0.046,0.043,5.03,0.369,0
2206,5,Jilin,2006,98020505.65,3271.5,78,87,0.03,0.092,0.24,0.019,0.046,0.039,4.453,0.296,0
2207,5,Jilin,2007,106402294.4,4134.7,112,124,0.03,0.095,0.212,0.014,0.048,0.045,3.616,0.283,0
2208,5,Jilin,2008,102254998.8,4905.4,125,151,0.031,0.098,0.161,0.022,0.051,0.045,2.936,0.306,0
2209,5,Jilin,2009,120920656.4,5515.3,166,239,0.032,0.103,0.182,0.024,0.052,0.049,2.438,0.257,0
2210,5,Jilin,2010,137894748.2,6505.9,215,211,0.036,0.106,0.151,0.032,0.053,0.051,2.634,0.313,0
2211,5,Jilin,2011,153019050.1,7857.7,218,229,0.033,0.101,0.101,0.042,0.056,0.046,1.899,0.131,0
2212,5,Jilin,2012,155707615.3,8831.3,278,258,0.036,0.112,0.106,0.05,0.055,0.051,1.849,0.266,0
2213,5,Jilin,2013,158632916.9,9608.6,302,264,0.039,0.114,0.101,0.06,0.058,0.056,2.003,0.319,0
2214,5,Jilin,2014,158808834.5,10077,369,342,0.035,0.116,0.105,0.059,0.061,0.052,1.559,0.238,0
2215,5,Jilin,2015,152188368.2,10162.9,451,502,0.038,0.129,0.11,0.046,0.067,0.055,1.81,0.351,0
2216,5,Jilin,2016,149386010.1,10603.5,579,595,0.038,0.119,0.127,0.048,0.061,0.054,1.684,0.133,0
2217,5,Jilin,2017,150666328,11083,791,798,0.046,0.137,0.113,0.046,0.07,0.061,1.687,0.405,0
2218,5,Jilin,2018,159117710.1,11437.4,917,861,0.042,0.131,0.144,0.039,0.066,0.058,1.839,0.189,0
2219,5,Jilin,2019,159133429.3,11949.4,1136,1124,0.042,0.132,0.147,0.051,0.065,0.061,2.514,0.188,0
2220,5,Jilin,2020,157648580.5,12499.5,1228,1358,0.05,0.144,0.166,0.039,0.069,0.061,2.361,0.348,0
2221,5,Jilin,2021,162555518.4,13431.1,1324,1456,0.051,0.149,0.178,0.032,0.079,0.072,2.312,0.432,0
2222,5,Jilin,2022,160051499.7,13121.4,1860,1101,0.051,0.147,0.18,0.033,0.08,0.073,2.502,0.447,0
2223,5,Jilin,2023,170404483.8,13942.7,2082,1123,0.051,0.147,0.18,0.033,0.08,0.073,2.572,0.465,0
5100,6,Sichuan,2000,108654585.9,3975.6,59,85,0.023,0.072,0.122,0.019,0.038,0.031,3.914,0.363,0
5101,6,Sichuan,2001,111107719.6,4350.5,63,87,0.027,0.076,0.149,0.02,0.04,0.032,3.316,0.384,0
5102,6,Sichuan,2002,115845806.2,4790.5,103,119,0.029,0.077,0.147,0.02,0.039,0.035,3.29,0.401,0
5103,6,Sichuan,2003,126520730.6,5422.7,95,123,0.03,0.083,0.126,0.026,0.041,0.04,2.718,0.499,0
5104,6,Sichuan,2004,144673797.8,6395.8,99,148,0.029,0.081,0.124,0.019,0.045,0.039,2.66,0.332,0
5105,6,Sichuan,2005,168215305.3,7287.4,152,174,0.029,0.088,0.116,0.029,0.046,0.039,2.424,0.363,0
5106,6,Sichuan,2006,187790383.1,8602.1,243,299,0.03,0.086,0.09,0.029,0.046,0.037,2.064,0.222,0
5107,6,Sichuan,2007,209899226.4,10694.5,257,282,0.03,0.094,0.098,0.034,0.048,0.044,1.826,0.317,0
5108,6,Sichuan,2008,210783247.9,12941.4,280,392,0.034,0.101,0.084,0.038,0.053,0.044,1.466,0.402,0
5109,6,Sichuan,2009,217217775.4,14396.2,435,645,0.034,0.099,0.086,0.055,0.055,0.048,1.579,0.339,0
5110,6,Sichuan,2010,227612295.4,17466.7,630,941,0.036,0.105,0.077,0.057,0.056,0.046,1.107,0.329,0
5111,6,Sichuan,2011,255342619,21313.1,786,1095,0.033,0.106,0.063,0.053,0.056,0.047,0.941,0.174,0
5112,6,Sichuan,2012,260054191.3,24224.9,1430,1886,0.039,0.109,0.051,0.063,0.054,0.051,0.928,0.281,0
5113,6,Sichuan,2013,267196246.6,26858.4,1755,1727,0.036,0.114,0.063,0.059,0.057,0.053,0.909,0.235,0
5114,6,Sichuan,2014,264785405.2,29357.5,2074,2020,0.035,0.114,0.05,0.064,0.056,0.054,0.933,0.195,0
5115,6,Sichuan,2015,258202581.2,30829.1,3623,3114,0.04,0.125,0.06,0.064,0.062,0.054,0.863,0.298,0
5116,6,Sichuan,2016,253662732.9,33879.2,5039,3506,0.044,0.133,0.049,0.054,0.067,0.062,0.735,0.405,0
5117,6,Sichuan,2017,253441542.5,38517.1,6250,4901,0.044,0.128,0.052,0.064,0.069,0.059,0.742,0.311,0
5118,6,Sichuan,2018,257759074.9,43539,6080,4892,0.044,0.126,0.044,0.091,0.064,0.056,0.593,0.17,0
5119,6,Sichuan,2019,253486126.2,47168.6,4264,5782,0.048,0.135,0.04,0.091,0.074,0.062,0.607,0.332,0
5120,6,Sichuan,2020,249253774.6,49445.1,4778,7520,0.052,0.143,0.047,0.092,0.077,0.065,0.647,0.453,0
5121,6,Sichuan,2021,268385937.1,55131.3,4659,5716,0.044,0.145,0.046,0.067,0.073,0.07,0.495,0.285,0
5122,6,Sichuan,2022,263363191.4,57609.4,5351,5154,0.044,0.141,0.046,0.068,0.073,0.07,0.515,0.265,0
5123,6,Sichuan,2023,278601939.3,61353.4,5906,5507,0.044,0.143,0.046,0.068,0.073,0.07,0.529,0.273,0
1200,7,Tianjin,2000,47741953.04,1608.4,32,81,0.021,0.066,0.308,0.002,0.036,0.032,9.74,0.193,0
1201,7,Tianjin,2001,51193703.78,1778.3,40,78,0.026,0.075,0.322,0.002,0.039,0.036,7.846,0.362,0
1202,7,Tianjin,2002,53101506.55,1952.3,73,83,0.026,0.078,0.251,0.003,0.039,0.033,7.704,0.257,0
1203,7,Tianjin,2003,57383888.99,2288.7,219,127,0.028,0.079,0.259,0.004,0.043,0.038,5.988,0.347,0
1204,7,Tianjin,2004,62326363.59,2663.3,143,114,0.026,0.082,0.206,0.004,0.042,0.038,5.735,0.177,0
1205,7,Tianjin,2005,81987471.61,3203.6,173,125,0.026,0.084,0.194,0.004,0.042,0.037,3.905,0.101,0
1206,7,Tianjin,2006,83839460.98,3592.5,284,210,0.029,0.091,0.176,0.004,0.048,0.039,3.931,0.246,0
1207,7,Tianjin,2007,85655154.76,4229.8,354,293,0.033,0.093,0.185,0.003,0.047,0.041,3.892,0.223,0
1208,7,Tianjin,2008,88093846.08,5278.3,290,285,0.033,0.096,0.176,0.006,0.051,0.046,3.322,0.299,0
1209,7,Tianjin,2009,106989661.5,5828.6,419,423,0.032,0.099,0.154,0.007,0.051,0.044,2.434,0.16,0
1210,7,Tianjin,2010,118707038,6991.6,535,555,0.036,0.105,0.111,0.013,0.053,0.047,2.012,0.252,0
1211,7,Tianjin,2011,123786522.2,8240.8,791,811,0.034,0.104,0.105,0.015,0.052,0.048,1.912,0.126,0
1212,7,Tianjin,2012,125890653.6,9193,1109,1210,0.041,0.11,0.121,0.017,0.059,0.05,1.771,0.313,0
1213,7,Tianjin,2013,129313933,10075.2,1576,1398,0.04,0.119,0.105,0.022,0.062,0.05,1.757,0.334,0
1214,7,Tianjin,2014,133682904.5,10749.2,1570,1775,0.037,0.12,0.113,0.026,0.06,0.057,1.587,0.281,0
1215,7,Tianjin,2015,128492738.9,10889.2,2414,3025,0.037,0.117,0.084,0.026,0.065,0.052,1.331,0.184,0
1216,7,Tianjin,2016,124757728.4,11487,3245,3472,0.038,0.128,0.09,0.022,0.067,0.057,1.57,0.208,0
1217,7,Tianjin,2017,125890652.3,12468.2,2673,4121,0.045,0.132,0.104,0.044,0.069,0.063,1.538,0.364,0
1218,7,Tianjin,2018,136320006.2,13411.1,2807,4321,0.046,0.129,0.081,0.024,0.065,0.057,1.404,0.169,0
1219,7,Tianjin,2019,142040963.6,14097.2,2693,4720,0.05,0.139,0.163,0.078,0.072,0.064,1.876,0.415,0
1220,7,Tianjin,2020,139935786.1,14230.8,2610,6132,0.043,0.131,0.125,0.02,0.067,0.059,1.748,0.099,0
1221,7,Tianjin,2021,144835939.7,16093.2,2538,4153,0.048,0.141,0.123,0.017,0.076,0.063,1.707,0.249,0
1222,7,Tianjin,2022,143018498.1,16588.5,2548,3564,0.047,0.14,0.122,0.017,0.076,0.063,1.597,0.24,0
1223,7,Tianjin,2023,151678325.1,17211.8,2754,3521,0.047,0.14,0.123,0.017,0.075,0.063,1.513,0.244,0
6400,8,Ningxia,2000,31782303.35,297.7,8,8,0.022,0.071,2.185,0.004,0.035,0.03,27.819,0.39,0
6401,8,Ningxia,2001,32949584.48,341.5,11,10,0.024,0.073,1.84,0.005,0.037,0.035,17.55,0.457,0
6402,8,Ningxia,2002,37258514.68,381.8,5,9,0.026,0.077,1.75,0.005,0.037,0.036,22.714,0.45,0
6403,8,Ningxia,2003,44936720.58,448.4,7,8,0.03,0.084,1.703,0.005,0.043,0.039,16.443,0.642,0
6404,8,Ningxia,2004,51104224,527.3,6,13,0.03,0.083,1.37,0.005,0.043,0.04,12.573,0.474,0
6405,8,Ningxia,2005,56099787.56,587.2,2,19,0.028,0.083,1.371,0.005,0.046,0.037,11.28,0.342,0
6406,8,Ningxia,2006,70225417.48,691.6,16,17,0.032,0.091,1.371,0.006,0.049,0.042,8.725,0.533,0
6407,8,Ningxia,2007,76330668.55,887.9,6,17,0.032,0.095,1.086,0.007,0.05,0.042,7.726,0.417,0
6408,8,Ningxia,2008,75427806.34,1153.7,16,20,0.031,0.095,0.889,0.009,0.048,0.043,8.01,0.314,0
6409,8,Ningxia,2009,82026356.72,1284.8,12,23,0.037,0.103,0.921,0.009,0.055,0.047,6.772,0.473,0
6410,8,Ningxia,2010,107014483.7,1595.3,31,39,0.036,0.097,0.67,0.017,0.05,0.044,6.935,0.262,0
6411,8,Ningxia,2011,126847172.8,1959.3,41,39,0.036,0.107,0.649,0.018,0.053,0.051,5.008,0.346,0
6412,8,Ningxia,2012,124387524.5,2162,66,73,0.035,0.109,0.503,0.016,0.06,0.052,2.772,0.323,0
6413,8,Ningxia,2013,128478800.2,2364.9,166,92,0.039,0.121,0.543,0.012,0.06,0.055,3.505,0.487,0
6414,8,Ningxia,2014,125261185,2516.4,115,105,0.036,0.118,0.577,0.014,0.06,0.056,3.36,0.392,0
6415,8,Ningxia,2015,120370764.8,2644.7,126,156,0.041,0.114,0.558,0.02,0.061,0.052,3.459,0.318,0
6416,8,Ningxia,2016,122322237.2,2853.3,158,297,0.043,0.128,0.646,0.014,0.063,0.056,3.19,0.423,0
6417,8,Ningxia,2017,142427148.1,3271.6,203,414,0.043,0.138,0.51,0.023,0.069,0.062,2.153,0.498,0
6418,8,Ningxia,2018,154912319.7,3580.6,345,564,0.044,0.131,0.576,0.023,0.067,0.056,2.422,0.324,0
6419,8,Ningxia,2019,174003965.4,3841.5,320,610,0.045,0.133,0.462,0.019,0.069,0.061,2.145,0.368,0
6420,8,Ningxia,2020,174305461.3,4036.2,425,916,0.044,0.145,0.518,0.015,0.069,0.063,2.926,0.398,0
6421,8,Ningxia,2021,188879868.4,4666.5,454,885,0.047,0.142,0.453,0.014,0.07,0.067,2.508,0.383,0
6422,8,Ningxia,2022,191617159.6,5168.1,520,859,0.047,0.146,0.455,0.014,0.07,0.066,2.47,0.39,0
6423,8,Ningxia,2023,201084696.6,5368.8,601,912,0.046,0.144,0.454,0.015,0.072,0.065,2.579,0.377,0
3400,9,Anhui,2000,144342900.7,3162.3,26,34,0.024,0.068,0.19,0.013,0.037,0.033,4.887,0.322,0
3401,9,Anhui,2001,152599784.5,3547.7,22,37,0.023,0.072,0.166,0.015,0.037,0.033,4.27,0.249,0
3402,9,Anhui,2002,159799154.3,3882.3,31,54,0.023,0.072,0.144,0.019,0.04,0.034,4.868,0.21,0
3403,9,Anhui,2003,177350080.1,4375,47,80,0.025,0.079,0.174,0.012,0.039,0.036,4.24,0.201,0
3404,9,Anhui,2004,197213866.2,5210.9,42,59,0.029,0.087,0.171,0.015,0.043,0.041,3.333,0.365,0
3405,9,Anhui,2005,226390503,5761.7,88,82,0.028,0.09,0.167,0.015,0.045,0.04,3.171,0.312,0
3406,9,Anhui,2006,248580760,6602.6,101,128,0.029,0.09,0.151,0.022,0.05,0.044,2.986,0.402,0
3407,9,Anhui,2007,285447471.3,8078,143,124,0.029,0.093,0.107,0.017,0.051,0.045,2.596,0.262,0
3408,9,Anhui,2008,322314417.6,9691.2,210,192,0.032,0.092,0.118,0.025,0.046,0.043,2.477,0.189,0
3409,9,Anhui,2009,334870311.6,11063.3,339,385,0.036,0.104,0.119,0.025,0.053,0.046,2.109,0.313,0
3410,9,Anhui,2010,358503105.6,13474.6,431,707,0.035,0.103,0.073,0.031,0.053,0.044,1.605,0.217,0
3411,9,Anhui,2011,389163956.8,16532.7,672,996,0.034,0.107,0.071,0.034,0.058,0.046,1.264,0.193,0
3412,9,Anhui,2012,402870381.9,18613.7,1046,1677,0.037,0.107,0.081,0.048,0.054,0.047,1.28,0.177,0
3413,9,Anhui,2013,432133808.6,20888.2,1451,1669,0.036,0.111,0.069,0.042,0.056,0.049,1.062,0.145,0
3414,9,Anhui,2014,439745963.8,22880.7,2301,2060,0.038,0.119,0.08,0.045,0.061,0.053,0.999,0.269,0
3415,9,Anhui,2015,444211403.6,24142.7,3838,3038,0.04,0.115,0.075,0.056,0.056,0.055,0.96,0.196,0
3416,9,Anhui,2016,447562126,26801.2,6267,3349,0.04,0.126,0.064,0.045,0.065,0.059,1.036,0.254,0
3417,9,Anhui,2017,453812967.8,30141.8,7352,3975,0.038,0.123,0.061,0.08,0.067,0.06,0.883,0.24,0
3418,9,Anhui,2018,492192397.8,34377.3,9553,4335,0.043,0.131,0.062,0.075,0.067,0.059,0.766,0.228,0
3419,9,Anhui,2019,493113574,37584.8,6000,5472,0.046,0.138,0.052,0.109,0.073,0.068,0.645,0.372,0
3420,9,Anhui,2020,491921365.1,38628.8,7276,7019,0.046,0.144,0.05,0.065,0.07,0.066,0.696,0.337,0
3421,9,Anhui,2021,517951754.2,43102.8,6509,6788,0.042,0.139,0.049,0.071,0.075,0.062,0.748,0.205,0
3422,9,Anhui,2022,520912330.6,45525.1,6948,7150,0.043,0.142,0.05,0.071,0.075,0.062,0.662,0.215,0
3423,9,Anhui,2023,546920399.2,48227.5,7529,7585,0.043,0.144,0.05,0.071,0.074,0.062,0.585,0.225,0
3700,10,Shandong,2000,384095327.3,8348.5,106,241,0.025,0.07,0.065,0.023,0.036,0.032,2.396,0.349,0
3701,10,Shandong,2001,403922520.8,9172.3,151,260,0.026,0.076,0.055,0.023,0.039,0.033,2.601,0.384,0
3702,10,Shandong,2002,450278097.7,10192.6,130,362,0.024,0.077,0.069,0.026,0.038,0.037,2.16,0.296,0
3703,10,Shandong,2003,549374220.2,11028,188,375,0.027,0.077,0.054,0.021,0.04,0.035,2.066,0.239,0
3704,10,Shandong,2004,623612538.1,13456.2,201,337,0.029,0.079,0.049,0.026,0.044,0.036,1.87,0.295,0
3705,10,Shandong,2005,673934531.5,16120.9,308,469,0.029,0.088,0.051,0.03,0.045,0.042,1.459,0.384,0
3706,10,Shandong,2006,736411950.3,19184,430,612,0.029,0.087,0.037,0.023,0.045,0.04,1.309,0.22,0
3707,10,Shandong,2007,781165657.9,22994.5,545,869,0.032,0.096,0.034,0.02,0.049,0.043,1.125,0.295,0
3708,10,Shandong,2008,795067085.4,27460.2,746,1041,0.035,0.098,0.036,0.032,0.051,0.046,1.061,0.385,0
3709,10,Shandong,2009,840164781.3,29957.2,956,1464,0.03,0.1,0.026,0.033,0.051,0.044,0.856,0.16,0
3710,10,Shandong,2010,888233588,34429.4,1220,1990,0.038,0.103,0.029,0.059,0.053,0.05,0.886,0.322,0
3711,10,Shandong,2011,949154573.9,39622,1578,2384,0.033,0.103,0.026,0.054,0.051,0.044,0.684,0.088,0
3712,10,Shandong,2012,975769063,43584.3,2593,2951,0.035,0.107,0.023,0.065,0.052,0.05,0.754,0.161,0
3713,10,Shandong,2013,1027827623,48058.1,3620,2906,0.035,0.112,0.022,0.087,0.055,0.047,0.671,0.145,0
3714,10,Shandong,2014,1036199633,51552.7,4187,3759,0.037,0.12,0.029,0.062,0.063,0.052,0.638,0.277,0
3715,10,Shandong,2015,1042331762,56159.1,5144,5312,0.043,0.125,0.024,0.082,0.06,0.06,0.653,0.376,0
3716,10,Shandong,2016,1062190662,59702.6,5982,6900,0.042,0.127,0.03,0.104,0.065,0.061,0.599,0.358,0
3717,10,Shandong,2017,1074950876,63958.6,6264,8019,0.04,0.127,0.025,0.094,0.063,0.058,0.572,0.228,0
3718,10,Shandong,2018,1110236768,67864.4,6752,8333,0.043,0.135,0.029,0.107,0.072,0.062,0.5,0.339,0
3719,10,Shandong,2019,1137954077,72024.3,6999,11974,0.043,0.131,0.023,0.125,0.063,0.056,0.655,0.158,0
3720,10,Shandong,2020,1148726669,74355.9,8463,16318,0.043,0.132,0.022,0.108,0.068,0.057,0.553,0.144,0
3721,10,Shandong,2021,1178087737,84838,8567,16182,0.047,0.137,0.025,0.09,0.073,0.064,0.493,0.24,0
3722,10,Shandong,2022,1146652057,89519.4,9608,14282,0.047,0.139,0.025,0.09,0.073,0.063,0.514,0.249,0
3723,10,Shandong,2023,1177673402,94206.4,11072,14826,0.048,0.139,0.024,0.089,0.074,0.063,0.532,0.269,0
1400,11,Shanxi,2000,165876878.5,1861.9,30,40,0.021,0.067,0.279,0.021,0.034,0.033,8.782,0.255,0
1401,11,Shanxi,2001,173419965.7,2049,30,34,0.022,0.072,0.244,0.02,0.038,0.032,7.27,0.255,0
1402,11,Shanxi,2002,199129088.3,2348.2,39,42,0.023,0.072,0.253,0.019,0.037,0.034,6.991,0.178,0
1403,11,Shanxi,2003,227608100.8,2884,35,45,0.025,0.081,0.246,0.029,0.044,0.035,5.288,0.354,0
1404,11,Shanxi,2004,259195835.4,3533.1,38,47,0.026,0.088,0.207,0.026,0.043,0.039,4.689,0.359,0
1405,11,Shanxi,2005,313274691,4118,53,71,0.03,0.089,0.193,0.028,0.046,0.039,3.904,0.397,0
1406,11,Shanxi,2006,338823362.9,4758.7,83,107,0.03,0.091,0.23,0.022,0.048,0.045,4.121,0.415,0
1407,11,Shanxi,2007,369838816.3,5991.9,92,116,0.029,0.096,0.161,0.023,0.051,0.044,3.541,0.296,0
1408,11,Shanxi,2008,381437919.4,7295.8,101,180,0.031,0.094,0.147,0.031,0.049,0.044,2.816,0.253,0
1409,11,Shanxi,2009,418635254.2,7231.2,175,234,0.037,0.105,0.15,0.032,0.055,0.045,3.082,0.374,0
1410,11,Shanxi,2010,448659477.4,9004.5,196,275,0.031,0.103,0.126,0.037,0.054,0.046,2.418,0.203,0
1411,11,Shanxi,2011,495650066.9,11005.1,248,282,0.04,0.114,0.128,0.037,0.06,0.05,2.184,0.428,0
1412,11,Shanxi,2012,518496390.5,11819.7,343,422,0.037,0.112,0.118,0.035,0.061,0.049,1.82,0.299,0
1413,11,Shanxi,2013,535790938.2,12171.8,405,507,0.036,0.119,0.109,0.042,0.059,0.05,1.687,0.275,0
1414,11,Shanxi,2014,525515876,12307,479,529,0.04,0.114,0.115,0.035,0.057,0.054,1.92,0.233,0
1415,11,Shanxi,2015,504833116.1,12036.1,452,636,0.041,0.113,0.123,0.042,0.059,0.051,1.788,0.163,0
1416,11,Shanxi,2016,501151417.2,12160.1,592,750,0.041,0.124,0.104,0.04,0.063,0.059,1.904,0.254,0
1417,11,Shanxi,2017,506536389.1,14679.1,725,1072,0.04,0.12,0.105,0.045,0.066,0.053,1.454,0.162,0
1418,11,Shanxi,2018,522573042.6,16153.1,980,1133,0.045,0.129,0.105,0.06,0.065,0.064,1.792,0.245,0
1419,11,Shanxi,2019,529401520.2,17311,947,1825,0.046,0.135,0.106,0.09,0.069,0.06,1.583,0.284,0
1420,11,Shanxi,2020,530238223.4,18202.7,1117,2397,0.047,0.137,0.107,0.099,0.071,0.061,1.78,0.299,0
1421,11,Shanxi,2021,579007295.7,23087.8,1130,2023,0.052,0.139,0.1,0.082,0.077,0.065,1.147,0.346,0
1422,11,Shanxi,2022,589578338.1,25653.2,1232,1789,0.051,0.137,0.1,0.081,0.076,0.065,1.073,0.338,0
1423,11,Shanxi,2023,629094764.2,26050.8,1543,1941,0.052,0.138,0.098,0.08,0.076,0.066,1.134,0.367,0
6100,12,Shaanxi,2000,89410303.8,1823.3,34,53,0.024,0.072,0.347,0.02,0.036,0.032,13.956,0.361,0
6101,12,Shaanxi,2001,93520959.33,2034.1,29,65,0.025,0.077,0.301,0.017,0.04,0.032,10.664,0.373,0
6102,12,Shaanxi,2002,100035344.8,2281.1,44,91,0.026,0.076,0.284,0.028,0.039,0.033,10.497,0.352,0
6103,12,Shaanxi,2003,114939673.5,2618.8,95,99,0.027,0.078,0.284,0.026,0.042,0.036,9.882,0.339,0
6104,12,Shaanxi,2004,132745839.6,3178.4,83,86,0.029,0.085,0.279,0.022,0.046,0.039,7.798,0.411,0
6105,12,Shaanxi,2005,155551894.4,3857.4,108,110,0.03,0.085,0.186,0.029,0.043,0.038,6.66,0.314,0
6106,12,Shaanxi,2006,165371253.1,4642.1,141,117,0.03,0.088,0.17,0.022,0.043,0.041,5.674,0.235,0
6107,12,Shaanxi,2007,195688075.5,5739.7,201,164,0.032,0.092,0.173,0.025,0.047,0.04,4.775,0.262,0
6108,12,Shaanxi,2008,216817366.6,7256.8,313,230,0.033,0.101,0.125,0.029,0.052,0.042,4.403,0.327,0
6109,12,Shaanxi,2009,233338472.3,8094.9,609,364,0.037,0.105,0.13,0.032,0.056,0.046,3.74,0.389,0
6110,12,Shaanxi,2010,251726499.8,9973,788,547,0.034,0.099,0.106,0.039,0.05,0.044,3.168,0.149,0
