PKU_sum,PKU_wide,PKU_deep,PKU_Pay,bad_loan,insurance_density,insurance_pi,bank_card_pop,debit_card_pop,ATM_area,fin_sub_pop_area,SME_loanshare_assetshare,ag_loanshare_gdpshare
180.98,144.68,223.09,128.77,-1.23,1823.6,-.36443406,3.9593735,3.5953677,.34091797,.15136017,.87406671,6.0184665
204.16,193.18,201.09,184.42,-1.31,2115.6,-.36632225,4.6257629,4.2032986,.40313551,.1554652,.89811403,5.9743781
244.01,215.94,218.62,227.43,-1.55,2494.8,-.36815628,5.0895762,4.6899462,.56821847,.16271216,.84405112,5.6623497
77.39,85.53,93.52,96.52,-.91,1609,-.35036305,3.1318965,2.7194591,.20212641,.1967154,.78154188,8.1210642
146.35,128.5,200.42,130.89,-1.68,1797.7,-.41786757,3.7435844,3.261322,.25165889,.20193394,.81259143,8.7352934
205.77,167.96,265.48,166.23,-1.98,2018.7,-.48787439,4.4468617,3.8777432,.30769777,.20369996,.84120107,9.3135567
224.45,217.48,233.67,224.06,-2.04,2288.1,-.45163155,5.1993022,4.5369134,.36385262,.2143445,.86745763,9.1581001
264.85,239.33,251.29,270.92,-2.5,2604,-.46309984,5.700212,5.0441251,.51284933,.2146353,.87099797,9.2968836
33.07,20.2,55.58,49.04,-.91,724,-.28915229,1.7443808,1.6217057,.079896107,.092416741,.87155157,2.1709361
96.63,66.06,138.06,67.84,-.96,757.5,-.33663091,2.0834355,1.9433086,.099475205,.07919617,.91873658,2.4069078
150.83,106.51,190.86,95.33,-1.03,801,-.46168584,2.4671011,2.3033929,.12478588,.09139628,.88421774,2.7243767
180.59,156.56,173.84,151.5,-1.3,945,-.40888232,2.8645725,2.676276,.1475593,.093955696,.85198218,2.8409553
211.28,171.65,189.78,196.92,-1.86,1146,-.39632633,3.127022,2.9626572,.20798446,.10182918,.77667791,2.9200773
61.76,63.28,68.51000000000001,77.26000000000001,-.64,1162.4,-.3536157,2.7518232,2.3974805,.086402863,.11912505,.70304108,3.2964091
123.21,112.74,140.25,100.51,-.76,1274.5,-.38931453,3.273073,2.8610218,.10757648,.12118291,.70439845,3.5223458
183.1,157.43,194.12,130.14,-1.22,1523.2,-.40448251,3.8759785,3.3913,.13537295,.12484311,.7027353,3.8297305
202.59,204.22,164.85,181.25,-1.94,1802,-.38766262,4.5018921,3.9415765,.16007853,.12869491,.70770568,4.0290723
245.21,226.6,198.23,230.19,-2.77,2025,-.38829798,4.9207253,4.3690138,.22563027,.13329305,.68118018,4.1190495
29.74,13.97,54.82,56.7,-1.03,566,-.29456761,1.5859542,1.4725488,.063331082,.083881788,.76313019,3.0173693
91.93000000000001,59.82,132.68,75.05,-1.19,603.3,-.34300154,1.8940263,1.7643958,.078850806,.084391281,.74248272,3.2187126
146.13,99.81,183.73,102.46,-1.28,706,-.3758412,2.2493696,2.0974433,.098658368,.085773394,.66949189,3.5413268
175.69,148.73,167.19,154.14,-1.44,885.3,-.35492489,2.6231554,2.4476168,.11666352,.088930048,.64317489,3.6460655
208.35,170.86,182.48,194.78,-2.08,1119,-.35009846,2.8771937,2.7225003,.16443694,.092369743,.55399454,3.6530867
38.55,33.67,47.16,44.24,-1.01,1075,-.30461356,2.3761292,2.1494393,.15195321,.089583881,.83244675,4.2991605
