地区,所属地域,id,年份,规模以上工业企业平均用工人数（万人）,规模以上工业企业固定资产净值（亿元）,能源投入（万吨标准煤）,工业增加值(亿元),工业废水排放量（万吨）,工业固体废弃物排放量（万吨）,,GML指数,工业绿色全要素生产率
黑龙江,中部,8,2009,144.48,4754.45,10467,3470.2,34188.222,42.035,,0.843866371,1.511996175
上海,东部,9,2009,284.12,8401.25,10367,5740.8,41192.029,4.477,,0.979040495,1.643564076
江苏,东部,10,2009,1026.16,20308.82,23709,16570.3,256159.97,46.518,,1.056745887,1.393759824
浙江,东部,11,2009,787.64,13228.05,15567,10491.3,203441.709,34.805,,0.967971034,1.10689216
安徽,中部,12,2009,232.06,5756.93,8896,3743.7,73441.473,51.437,,1.021641354,1.800639368
福建,东部,13,2009,379.47,5204.83,8916,5218.6,142746.985,22.733,,1.017656608,1.291278517
江西,中部,14,2009,174.94,3432.67,5813,3232.5,67192.445,40.26,,1.083153633,2.17949682
山东,东部,15,2009,926.6,20220.89,32420,13998.5,182672.636,52.258,,0.954184858,1.258207731
河南,中部,16,2009,449.14,9840.72,19751,9064.9,140324.565,76.966,,0.931337385,1.758723339
湖北,中部,17,2009,272.39,9210.24,13708,5212.7,91324.093,36.244,,1.045645888,1.703003365
湖南,中部,18,2009,241.01,5106.06,13331,4565.7,96395.69,85.071,,0.954693039,1.536114282
广东,东部,19,2009,1436.02,17654.15,24654,18128.5,188843.887,35.335,,0.996026498,1.501834944
广西,西部,20,2009,122.88,3369.23,7075,2241.4,161596.431,71.33,,0.966513549,1.490699357
海南,东部,21,2009,12,612.99,1233,291.9,7031.297,1.659,,0.937375757,2.05371134
重庆,西部,22,2009,137.29,2688.32,7030,2470.8,65683.845,21.642,,1.042978207,1.569717963
四川,西部,23,2009,311.76,8063.93,16322,5621.3,105909.552,30.928,,0.976667997,1.890451822
贵州,西部,24,2009,74.97,2771.5,7566,1297,13477.622,21.653,,0.957463936,1.713176848
云南,西部,25,2009,84.2,3711.02,8032,2135,32375.205,22.538,,0.876785729,1.39300641
陕西,西部,26,2009,137.69,5765.09,8044,3339.8,49136.763,29.877,,0.940596924,2.038961634
甘肃,西部,27,2009,69.03,2702.64,5482,1214,16363.607,17.529,,0.898973555,2.076995086
青海,西部,28,2009,17.8,1416.71,2348,273.7,8403.91,12.317,,0.950953687,2.527467024
宁夏,西部,29,2009,27.28,1167.5,3388,484.8,21542.367,11.573,,0.948466155,1.796948166
新疆,西部,30,2009,58.25,3754.98,7526,1558.5,24200.709,40.444,,0.762972897,1.628256284
北京,东部,1,2010,124.15,5551.31,6954,2607.5,8198,3.8,,1.155197921,1.851748819
天津,东部,2,2010,148.91,5732.66,6818,2837.3,19680,6.2,,1.013850636,1.847833808
河北,东部,3,2010,344.67,11495.76,27531,7495.1,114232,64.4,,1.061919086,1.476662656
山西,中部,4,2010,219.88,7709.02,16808,4923.9,49881,79.7,,1.207060531,2.383972901
内蒙古,西部,5,2010,125.19,7485.68,16820,2720.8,39536,63.6,,0.985691197,1.407710191
辽宁,东部,6,2010,401.74,12230.66,20947,6371.4,71521,56.5,,0.998920025,1.394751555
吉林,中部,7,2010,139.81,4800.34,8297,2029.6,38656,26.3,,1.112445928,1.706039895
黑龙江,中部,8,2010,147.6,5300.12,11234,3894.1,38921,35.4,,1.041495939,1.574737877
上海,东部,9,2010,291.62,8279.45,11201,6943.9,36696,5.2,,1.208777024,1.986702493
江苏,东部,10,2010,1153.88,24066.75,25774,19382.2,263760,45,,1.034708048,1.442134507
浙江,东部,11,2010,857.58,14275.22,16865,12432.1,217426,30.4,,1.100192593,1.217794556
安徽,中部,12,2010,264.87,7072.38,9707,4949.2,70971,47.1,,1.148393234,2.067842067
福建,东部,13,2010,411.75,5824,9809,6532.3,124168,24,,1.143136918,1.476108145
江西,中部,14,2010,199.16,4076.54,6355,4327.3,72526,36.3,,1.174877427,2.560641616
山东,东部,15,2010,931.5,22788.11,34808,15450,208257,48,,1.02997041,1.295916732
河南,中部,16,2010,479.27,11431.44,21438,10584.6,150406,70.1,,1.046323999,1.840194438
湖北,中部,17,2010,294.97,9611.91,15138,6750.7,94593,29.1,,1.221457036,2.080145442
湖南,中部,18,2010,272.44,6382.45,14880,5913.4,95605,62.9,,1.096071198,1.68369062
广东,东部,19,2010,1568,22407.53,26908,21387.7,187031,35.7,,1.015466129,1.525062516
广西,西部,20,2010,150.51,4062.12,7919,2875.5,165211,56.8,,1.081402519,1.612046039
海南,东部,21,2010,12.44,649.53,1359,347.6,5782,1.4,,1.133284843,2.327439934
重庆,西部,22,2010,146.56,3414.95,7856,2945.5,45180,18.6,,1.018601463,1.598917014
四川,西部,23,2010,351.67,9612.28,17892,7032.9,93444,40.1,,1.099110992,2.077816377
贵州,西部,24,2010,80.3,3077.16,8175,1484.9,14130,19.9,,1.053160642,1.804250429
云南,西部,25,2010,92.6,4475.91,8674,2675,30926,18.1,,1.111070555,1.547728405
陕西,西部,26,2010,151.08,5253.92,8882,4271.8,45487,30,,1.278967408,2.607765475
甘肃,西部,27,2010,71.34,3346.83,5923,1613.8,15352,19.1,,1.193079805,2.478020892
青海,西部,28,2010,20.09,1657.06,2568,326.7,9031,15,,1.053532411,2.662768428
宁夏,西部,29,2010,29.04,1424.11,3681,597.8,21977,19.7,,1.087609438,1.954377785
新疆,西部,30,2010,60.18,4428.65,8290,2165.6,25413,43.3,,1.276219324,2.078012135
北京,东部,1,2011,117.32,5137.66,6995,2859.6,8633,2.941,,1.160358375,2.148692251
天津,东部,2,2011,149.32,6232.49,7598,3231.3,19795,6.533,,1.072135081,1.981127451
河北,东部,3,2011,356.03,13019.72,29498,9132.8,118505,122.35,,1.124859026,1.661037317
山西,中部,4,2011,212.64,8960.31,18315,6251,39665,100.841,,1.206174339,2.875486938
内蒙古,西部,5,2011,123.57,8384.36,18737,3169.8,39409,60.453,,1.105450405,1.556153802
辽宁,东部,6,2011,368.92,12456.53,22712,7499.4,90457,59.115,,1.163118519,1.622261363
吉林,中部,7,2011,139.51,5265.72,9103,2376,41884,36.128,,1.097840693,1.872960022
黑龙江,中部,8,2011,134.23,5551.74,12119,4624.4,44072,41.981,,1.179447471,1.857320606
上海,东部,9,2011,269.34,8360.57,11270,7673.3,44626,6.645,,1.106836018,2.198953876
江苏,东部,10,2011,1091.86,24693.42,27589,22313.5,246298,48.639,,1.141087357,1.645601453
浙江,东部,11,2011,734.37,14615.98,17827,14277.8,182240,30.275,,1.174494011,1.430292413
安徽,中部,12,2011,264.08,8017.19,10570,6424.7,70720,41.059,,1.205865297,2.493538988
福建,东部,13,2011,403.82,6403.56,10653,7823.2,177186,20.985,,1.176068272,1.736003956
江西,中部,14,2011,202.96,4494.68,6928,5462.3,71196,35.909,,1.221165575,3.126967391
山东,东部,15,2011,859.77,24335.75,37132,17280.8,187245,61.274,,1.093941468,1.417657052
河南,中部,16,2011,547.1,13693.89,23062,12153.7,138654,57.566,,1.008916592,1.8566027
湖北,中部,17,2011,279.64,10324.46,16579,8551.2,104434,30.736,,1.218589466,2.534843323
湖南,中部,18,2011,289.67,7212.51,16161,7535.5,97197,35.52,,1.170874249,1.971389991
广东,东部,19,2011,1463.86,20665.39,28480,24460.7,178626,26.392,,1.228524084,1.873576032
广西,西部,20,2011,147.11,4250.33,8591,3504.1,101234,26.001,,1.192686781,1.922666002
海南,东部,21,2011,11.65,643.34,1601,440.1,6820,1.105,,1.26689299,2.948617337
重庆,西部,22,2011,145.76,3470.56,8792,3700.2,33954,17.122,,1.250256459,1.999056324
四川,西部,23,2011,380.48,10226.17,19696,8457.4,80420,35.758,,1.131081873,2.350180439
贵州,西部,24,2011,84.48,2458.04,9068,1822.9,20626,25.716,,1.320868624,2.383177781
云南,西部,25,2011,90.62,4633.23,9540,3076.5,47228,35.282,,1.107003765,1.713341171
陕西,西部,26,2011,156.41,7605.83,9761,5513.9,40806,39.7,,1.082541777,2.82301507
甘肃,西部,27,2011,59.61,3445.75,6496,1947.2,19720,18.776,,1.244313151,3.083433984
青海,西部,28,2011,18.11,1730.34,3189,415.4,8677,11.763,,1.272338043,3.387941569
宁夏,西部,29,2011,29.91,1939.22,4316,751.2,19285,19.822,,1.068977845,2.089186553
新疆,西部,30,2011,61.19,4789.03,9927,2718.9,28769,44.053,,1.178211833,2.448338487
北京,东部,1,2012,120.2,5945.59,7178,3090.1,9190,3.084,,1.01175729,2.173955048
天津,东部,2,2012,160.227,7195.81,8208,3575.2,19117,5.904,,1.012700016,2.006287801
河北,东部,3,2012,376.627,15563.95,30250,9665.1,122645,105.573,,0.954890198,1.586108252
山西,中部,4,2012,222.369,9693.35,19336,6330.4,48108,94.812,,0.940962922,2.705726592
内蒙古,西部,5,2012,129.79,9712.94,19786,3568.2,33618,66.769,,1.045758553,1.627361148
辽宁,东部,6,2012,405.8,13152.82,23526,7816.2,87168,62.634,,0.984574286,1.597236823
吉林,中部,7,2012,149.989,6103.02,9443,2649.7,44842,19.551,,1.013839274,1.898880429
黑龙江,中部,8,2012,141.35,6088.4,12758,4776,58355,45.01,,0.95357104,1.771087143
上海,东部,9,2012,264.97,8190.34,11362,7661.3,46359,6.373,,1.006505332,2.213258802
江苏,东部,10,2012,1131.77,27740.05,28850,23942.2,236094,39.598,,1.008906803,1.660258501
浙江,东部,11,2012,719.01,15386.64,18076,14853.3,175416,23.323,,1.02742018,1.469511288
安徽,中部,12,2012,299.303,9470.71,11358,7279.7,67175,35.164,,1.008697416,2.515226335
福建,东部,13,2012,396.592,7124.41,11185,8711.2,106319,23.399,,1.078028839,1.871462329
江西,中部,14,2012,209.031,5187.12,7233,5889.2,67871,32.183,,0.971724305,3.038550216
山东,东部,15,2012,918.465,27312.93,38899,18421.9,183634,52.59,,0.987179504,1.399481985
河南,中部,16,2012,584.05,15707.68,23647,12868.7,137356,49.277,,0.975243099,1.810638971
湖北,中部,17,2012,311.13,10770,17675,9771,91609,28.158,,1.082326307,2.743527612
湖南,中部,18,2012,303.79,7986.63,16744,8423.1,97133,29.883,,1.04871899,2.067434121
广东,东部,19,2012,1452.16,21208.93,29144,25526.2,186126,26.75,,1.072744419,2.009868231
广西,西部,20,2012,152.873,4992.17,9155,3643.8,110671,26.852,,0.937571619,1.802637076
海南,东部,21,2012,12.35,720.17,1688,478.3,7465,1.066,,1.004229434,2.961088319
重庆,西部,22,2012,154.97,4040.35,9278,4291.4,30611,16.614,,1.059777197,2.118554308
四川,西部,23,2012,391.44,12055.57,20575,9408.5,69984,26.782,,1.024699517,2.408228761
贵州,西部,24,2012,84.378,3661.49,9878,2185.8,23399,25.654,,0.969115074,2.309573512
云南,西部,25,2012,101.04,5301.08,10434,3557.4,42811,35.952,,1.039184286,1.780477223
陕西,西部,26,2012,165.519,9317.97,10626,6505.2,38037,38.552,,1.065134872,3.006891796
甘肃,西部,27,2012,63.484,4048.65,7007,2107.1,19188,15.665,,0.979951613,3.021616106
青海,西部,28,2012,18.894,1986.74,3524,462.7,8917,13.37,,1.028416675,3.484215603
宁夏,西部,29,2012,31.584,2361.38,4562,802,16548,18.072,,0.963198685,2.012301741
新疆,西部,30,2012,66.48,5679.83,11831,2873.2,29738,60.6,,0.929848081,2.276582843
北京,东部,1,2013,119.15,6060.28,6724,3336.6,9486,2.718,,1.122973641,2.441294216
天津,东部,2,2013,163.15,7993.28,7882,3814.7,18692,6.277,,1.044140164,2.094845673
河北,东部,3,2013,369.72,16764.62,29664,9847.5,109876,118.72,,1.003123761,1.591062875
山西,中部,4,2013,218.32,11010.12,19761,6113.9,47795,89.794,,0.915834163,2.477996849
内蒙古,西部,5,2013,127.7,11078.63,17681,3823.6,36986,68.405,,1.0523867,1.712613228
辽宁,东部,6,2013,400.6,15137.56,21721,8039.6,78286,57.277,,1.000968028,1.598782994
吉林,中部,7,2013,150.1,6739.17,8645,2852.7,42656,25.093,,1.063557146,2.019567851
黑龙江,中部,8,2013,138.22,6531.53,11853,4857.5,47796,52.014,,1.021684525,1.809492325
上海,东部,9,2013,259.67,8448.43,11346,7765.3,45426,6.717,,1.007683869,2.230265193
江苏,东部,10,2013,1150.76,31249.18,29205,25564.4,220559,45.557,,1.017350055,1.689064077
浙江,东部,11,2013,719.38,16149.64,18640,15835.8,163674,29.659,,1.037680247,1.524882837
安徽,中部,12,2013,314.68,10681.91,11696,8045.3,70972,35.176,,1.031491458,2.594434479
福建,东部,13,2013,424.15,7930.44,11190,9650.2,104658,24.058,,1.040284246,1.946852777
江西,中部,14,2013,236.22,6055.81,7583,6523.3,68230,32.469,,0.989233238,3.00583487
山东,东部,15,2013,948.23,30512.77,35358,19475.3,181179,54.237,,1.040926185,1.456757444
河南,中部,16,2013,631.74,18603.16,21909,13441.5,130789,54.721,,0.97630216,1.767730738
湖北,中部,17,2013,346.29,12044.51,15703,10227.4,84993,29.479,,1.008663191,2.767295315
湖南,中部,18,2013,330.32,8531.09,14919,9179.7,92311,31.677,,1.074120447,2.220673263
广东,东部,19,2013,1455.81,22385.82,28480,27142.1,170463,29.666,,1.077860101,2.166356774
广西,西部,20,2013,165.6,5253.6,9100,3699.7,89508,26.003,,0.976883621,1.760966634
海南,东部,21,2013,12.69,924.33,1720,441.6,6744,1.403,,0.826954888,2.44868646
重庆,西部,22,2013,169.42,5156.25,8049,4775.7,33451,17.984,,0.995565274,2.109159102
四川,西部,23,2013,385.05,14505.83,19212,10309,64864,26.887,,1.045160496,2.516985566
贵州,西部,24,2013,91.61,4326.55,9299,2533.3,22898,26.207,,1.067099034,2.464543663
云南,西部,25,2013,103.32,6764.19,10072,3903.4,41844,35.477,,1.002268881,1.784516913
陕西,西部,26,2013,171.01,8237.81,10610,7156.9,34871,46.851,,1.158263434,3.482772817
甘肃,西部,27,2013,61.77,4716.27,7287,2262.6,20171,17.456,,1.020769043,3.084372181
青海,西部,28,2013,21.39,2369.1,3768,502,8395,14.924,,0.956568317,3.332890257
宁夏,西部,29,2013,33.13,2487.44,4781,846.3,15708,21.291,,1.006998042,2.026383913
新疆,西部,30,2013,70.32,7314.22,13632,2951.6,34718,66.326,,0.893542779,2.03422416
北京,东部,1,2014,116.77,6277.84,6831,3522.8,9174,2.271,,1.0877866,2.655607136
天津,东部,2,2014,167.51,8248.22,8145,3972.4,19011,11.219,,1.009592412,2.114940297
河北,东部,3,2014,389.15,19804.45,29320,10056.3,108562,145.072,,0.944274265,1.502399727
山西,中部,4,2014,210.05,12611.5,19863,5769.2,49250,114.511,,0.903539547,2.23896815
内蒙古,西部,5,2014,128.41,12446.32,18309,4008.3,39325,81.875,,1.000333279,1.713184006
辽宁,东部,6,2014,369.4,14954.25,21803,7811.3,90631,95.792,,0.989930976,1.582684809
吉林,中部,7,2014,151.17,7630.59,8560,3065,42192,36.803,,1.028188351,2.076496138
黑龙江,中部,8,2014,134.25,6822.96,11955,4527.9,41984,53.471,,0.925958245,1.675514338
上海,东部,9,2014,247.18,8287.91,11085,8099.9,43939,13.143,,1.073956482,2.395207762
江苏,东部,10,2014,1147.96,34449.12,29863,27154.5,204890,72.048,,1.021784395,1.725859315
浙江,东部,11,2014,722.78,17801.63,18826,16955.3,149380,35.878,,1.030855431,1.571933754
安徽,中部,12,2014,335.45,11167.4,12011,8595.2,69580,58.528,,1.02799708,2.667071068
福建,东部,13,2014,433.95,9246.62,12110,10682.2,102052,34.92,,0.96222972,1.873319603
江西,中部,14,2014,250.45,6872.47,8055,6930.7,64856,42.876,,0.978532429,2.941306897
山东,东部,15,2014,929.694,36419.85,36511,20178.2,180022,102.447,,0.950882597,1.385205302
河南,中部,16,2014,689.85,22126.93,22890,14229.3,128048,71.548,,0.95378817,1.686040666
湖北,中部,17,2014,359.45,12605.1,16320,11174.2,81657,43.829,,1.055571606,2.921078359
湖南,中部,18,2014,335.11,9478.16,15317,9859.9,82271,45.23,,1.01706077,2.25855966
广东,东部,19,2014,1455.78,25305.19,29593,29497.8,177554,39.533,,0.947361096,2.052322127
广西,西部,20,2014,169.26,5587.07,9515,4023.8,72936,37.602,,1.044404701,1.839161832
海南,东部,21,2014,11.65,995.46,1820,485.9,7956,1.885,,1.101314082,2.69677288
重庆,西部,22,2014,183.29,6113.97,8593,5369.9,34968,21.477,,1.006049161,2.121917744
四川,西部,23,2014,374.1,16045.08,19879,10703.8,67577,39.873,,0.992249525,2.497477732
贵州,西部,24,2014,102.42,4807.09,9709,2840.3,32674,34.304,,1.010155633,2.489572664
云南,西部,25,2014,99.75,7943.69,10455,4085,40443,32.996,,0.999941479,1.784412481
陕西,西部,26,2014,188.02,11632.19,11222,7632.4,36163,53.775,,0.900743404,3.137084642
甘肃,西部,27,2014,68.6,5275.55,7521,2374.3,19742,26.09,,0.961392255,2.965291527
青海,西部,28,2014,21.64,2823.17,3992,504.5,8214,17.588,,0.943160777,3.143451364
宁夏,西部,29,2014,33.81,2842.22,4946,881,15147,21.175,,0.980284959,1.986433671
新疆,西部,30,2014,75.24,8825.36,14926,3211.2,32799,67.596,,0.983828447,2.001327597
北京,东部,1,2015,110.44,6660.18,6803,3458.9,8978,1.299,,0.996554861,2.646458201
天津,东部,2,2015,159.83,8452.57,8319,3815.1,18973,7.38,,0.957359925,2.024759083
河北,东部,3,2015,380.64,19745.87,31037,10026.4,94110,111.105,,0.996804094,1.497598199
山西,中部,4,2015,198.14,12749.59,19029,4597.2,41356,107.296,,0.814997198,1.824752769
内蒙古,西部,5,2015,124.57,12880.19,18784,4121.2,35753,65.674,,1.034537618,1.772353301
辽宁,东部,6,2015,305.2,14251.63,21362,7115.7,83140,83.672,,0.990265043,1.567277442
吉林,中部,7,2015,149.01,7366.03,7020,3090.7,38772,33.823,,1.101148303,2.286530199
黑龙江,中部,8,2015,124.92,6975.82,11104,3593.9,36410,37.317,,0.817192012,1.369216933
上海,东部,9,2015,233.71,8680.63,10931,7888.6,46939,11.137,,0.968051601,2.318684709
江苏,东部,10,2015,1138.22,36790.78,30374,28802.6,206427,61.221,,1.041522578,1.797521443
浙江,东部,11,2015,705.17,18480.92,19610,17803.3,147353,31.112,,1.036712221,1.629642934
安徽,中部,12,2015,339.84,12386.88,12301,8360.5,71436,47.796,,0.920405541,2.454786989
福建,东部,13,2015,436.17,9657.01,11863,11008.7,90741,32.176,,1.022585445,1.91562936
江西,中部,14,2015,263.41,8292.85,8423,7026.2,76412,44.601,,0.914515883,2.689871874
山东,东部,15,2015,915.12,39913.79,39332,21156.5,186440,90.295,,0.991286507,1.373135325
河南,中部,16,2015,717.31,24065.68,22343,14797.6,129809,66.635,,1.005853411,1.695909755
湖北,中部,17,2015,352.64,13328.9,15477,11677.3,80817,37.813,,1.049103243,3.06451278
湖南,中部,18,2015,330.29,9903.94,14514,10458.8,76888,41.242,,1.073306193,2.42412607
广东,东部,19,2015,1439.33,26943.69,30117,31315.5,161455,29.957,,1.054438053,2.164046548
广西,西部,20,2015,171.86,5749.81,9806,4159.1,63253,32.939,,1.012573747,1.862286987
海南,东部,21,2015,11.64,1222.1,1916,492.9,6879,1.611,,0.94763488,2.555556045
重庆,西部,22,2015,191.99,7092.53,7747,5621.5,35524,19.642,,1.009682838,2.14246393
四川,西部,23,2015,354.47,16768.95,18306,10735,71647,37.557,,1.025396959,2.560906071
贵州,西部,24,2015,102.18,5440.98,9344,3196,29174,23.062,,1.091051,2.716250746
云南,西部,25,2015,94.71,8350.96,10425,4044.5,45933,26.137,,0.992733618,1.771446258
陕西,西部,26,2015,176.55,12874.63,11746,7103.3,37730,45.49,,0.898679797,2.819234591
甘肃,西部,27,2015,63.83,5833.88,7489,2031.6,18760,20.78,,0.852344954,2.527451269
青海,西部,28,2015,20.94,3412.13,4125,516.4,8546,17.982,,0.99138374,3.116366571
宁夏,西部,29,2015,32.8,3407.62,5438,874.7,16443,18.534,,0.933282788,1.853904356
新疆,西部,30,2015,72.01,9421.34,15666,2770.9,28402,46.255,,0.862422303,1.725989556
北京,东部,1,2016,104.45,6833.06,6917,3635.5,8515.44,1.695,,1.102181586,2.916877498
天津,东部,2,2016,146.98,9191.81,8078,3773,13992.8,2.883,,1.057733832,2.141656183
河北,东部,3,2016,367.32,20087.82,31458,10755.9,67790,61.294,,1.103500433,1.65260026
山西,中部,4,2016,190.72,12901.36,18974,4441.2,28513.4,94.76,,0.998066273,1.821224196
内蒙古,西部,5,2016,120.71,13292.94,19310,4357.1,21536,107.486,,1.102853843,1.954646648
辽宁,东部,6,2016,212.3,12038,20847,6617.5,57639.2,74.312,,1.150614941,1.803332841
吉林,中部,7,2016,143.47,7611.72,6886,3148.2,16665,27.221,,1.080294048,2.470124964
黑龙江,中部,8,2016,117.4,6752.1,11070,3367.3,23934.675,45.021,,0.991017789,1.356918337
上海,东部,9,2016,215.34,8612.13,11242,8045.5,36600,4.152,,1.084203692,2.513926523
江苏,东部,10,2016,1111.84,38880.97,31210,30291.4,179400,73.357,,1.045433364,1.879188889
浙江,东部,11,2016,690.3,18993.74,20276,18661.5,129913,37.435,,1.069419079,1.742771246
安徽,中部,12,2016,314.58,11782.43,12663,8909.4,49625,92.663,,1.127693925,2.768248374
福建,东部,13,2016,421.66,9931.69,12036,11712,68872.15,66.09,,1.093024696,2.093830199
江西,中部,14,2016,269.13,9333.45,8730,7349.3,85527,64.948,,0.981702309,2.64065343
山东,东部,15,2016,869.374,41145.21,40138,21696,156599,45.225,,1.037463405,1.42457765
河南,中部,16,2016,724.19,25763.17,22323,15536.8,64509.82,32.363,,1.08144283,1.834029444
湖北,中部,17,2016,339.51,13642.5,15897,12480.5,49090,36.999,,1.122868113,3.441043683
湖南,中部,18,2016,336.31,10202.62,14845,10540.1,47548,45.926,,1.019880937,2.472319967
广东,东部,19,2016,1417.84,27217.9,31211,32677.9,134000,75.555,,1.114952195,2.412808449
广西,西部,20,2016,174.62,6018.15,10110,4307.3,36187,37.662,,1.027471751,1.91344727
海南,东部,21,2016,10.87,1315.46,1984,482.5,547,2.2,,3.687002136,9.422340595
重庆,西部,22,2016,194.95,8000.15,7982,5896.2,27837,15.674,,1.016969937,2.178821409
四川,西部,23,2016,335.48,17881.21,18756,10790.9,50788.613,38.678,,1.022212369,2.617789862
贵州,西部,24,2016,103.41,5541.54,9606,3501.7,16400,48.32,,1.130786497,3.071499665
云南,西部,25,2016,90.18,8422.86,10726,4087.5,49157.809,47.854,,1.021375043,1.809310998
陕西,西部,26,2016,175.01,15087.7,12146,7226.9,28416.76,50.606,,0.997434666,2.812002311
甘肃,西部,27,2016,59.71,5922.68,7300,1995.5,13023,53.439,,1.036693094,2.620191275
青海,西部,28,2016,20.13,3411.35,4101,597.4,8878,12.209,,1.190799985,3.710969266
宁夏,西部,29,2016,31.12,3689.09,5591,925.4,13564.4,24.614,,1.065597306,1.975515487
新疆,西部,30,2016,71.57,10244.7,16302,2686.8,6063,46.319,,1.083147316,1.869500956
北京,东部,1,2017,99.5,7258.42,7088,3885.9,8494.16,1.301,,1.132927208,3.304609881
天津,东部,2,2017,105.264,6430.49,7832,3942.5,14077,2.593,,1.34702242,2.884858895
河北,东部,3,2017,280.445,17906.77,32083,11015.7,44325,37.052,,1.234431745,2.040022222
山西,中部,4,2017,194.43,12518.11,19581,5887.3,24041,58.686,,1.383718764,2.520062093
内蒙古,西部,5,2017,102.605,12159.37,19763,4672,20048,88.301,,1.213658821,2.372274148
辽宁,东部,6,2017,199.1,11391.31,21365,7039,51284.1,74.417,,1.118950102,2.017839466
吉林,中部,7,2017,123.939,6773.85,6881,3235.2,17959,26.67,,1.114929632,2.754015516
黑龙江,中部,8,2017,102.735,6066.15,11258,3226.1,18058.969,41.666,,1.067766922,1.448872516
上海,东部,9,2017,204.67,8585.19,11382,8977.4,31600,1.789,,1.368769795,3.440986692
江苏,东部,10,2017,1031.37,36428.29,31602,33782.6,151900,57.114,,1.202958779,2.260586771
浙江,东部,11,2017,670.51,18337.58,21030,20038.7,122917,30.228,,1.108141884,1.931237811
安徽,中部,12,2017,298.097,10384.96,13019,9739.9,43010,54.439,,1.184225016,3.278228975
福建,东部,13,2017,447.659,10530.68,12555,12864.9,69860.45,35.66,,1.149988357,2.407880349
江西,中部,14,2017,263.485,8073.07,8972,7969.6,41206.56,52.252,,1.186788295,3.133896583
山东,东部,15,2017,811.179,38449.59,40098,22515.8,142495,34.803,,1.111313079,1.583151774
河南,中部,16,2017,676.53,24699.6,22162,16741.4,51133.81,21.829,,1.200316549,2.201415892
湖北,中部,17,2017,327.53,12498.49,16180,13431.6,44158.22,27.494,,1.186429255,4.082554892
湖南,中部,18,2017,335.88,10214.36,15200,10709.8,33421,33.751,,1.056806953,2.61276493
广东,东部,19,2017,1403.19,26540.42,32309,35344,130264.85,51.612,,1.689581118,4.076635598
广西,西部,20,2017,164.622,6123.95,10456,4680.1,36187,37.224,,1.092086278,2.089649508
海南,东部,21,2017,9.7,1090.45,2080,528.3,690,1.69,,0.588344207,5.543579507
重庆,西部,22,2017,169.01,7241.17,8279,6202.4,21301,14.908,,1.166192871,2.540925994
四川,西部,23,2017,318.97,16969.9,19229,11437.8,43157.17,38.484,,1.118792381,2.928763352
贵州,西部,24,2017,96.21,5395.98,9846,3821.4,17380,38.349,,1.129946893,3.470631505
云南,西部,25,2017,87.1,8687.17,11164,4347.8,20613.43,39.806,,1.127689679,2.040341339
陕西,西部,26,2017,153.275,13120.9,12549,8232.9,30875.52,36.397,,1.248080902,3.509606382
甘肃,西部,27,2017,53.841,5474.76,7504,2020.5,9885,45.297,,1.109874067,2.908082346
青海,西部,28,2017,20.238,3036.81,4193,683.2,9210,9.867,,1.169732519,4.340841427
宁夏,西部,29,2017,30.824,3727.24,6461,1129.2,12373.4,22.536,,1.206720198,2.383894439
新疆,西部,30,2017,70.627,10624.31,17386,3266.1,4870,46.023,,1.253998552,2.344351492
北京,东部,1,2018,92.74,7923.871,7270,4139.9,8422.15,1.575,,1.098578681,3.630373965
天津,东部,2,2018,98.85,6978.091,7973,4276.9,14891,2.242,,1.092952744,3.153014444
河北,东部,3,2018,288.42,20058.289,32185,10930.3,38000,35.038,,0.960743367,1.959937818
山西,中部,4,2018,201.59,14107.368,20199,6260.2,21872,37.912,,1.014714483,2.557143503
内蒙古,西部,5,2018,84.5,14130.54,23068,5104.2,19750,76.314,,1.161640277,2.755729199
辽宁,东部,6,2018,183.2,12198.037,22321,7728.7,39554.7,72.92,,1.127293143,2.274696594
吉林,中部,7,2018,97.42,7418.84,7000,3287.2,16532,19.043,,1.079051612,2.971724881
黑龙江,中部,8,2018,88.07,6439.8,11436,3266.7,19965.66,35.802,,1.047279124,1.517373939
上海,东部,9,2018,199.62,9030.287,11454,9763.5,29100,1.623,,1.438050963,4.948314226
江苏,东部,10,2018,952.16,41282.068,31635,36113.2,143600,48.119,,1.080762016,2.443156317
浙江,东部,11,2018,669.45,20498.212,21675,21621.2,119936,26.374,,1.046398472,2.020844295
安徽,中部,12,2018,290.98,11705.01,13295,10639.8,42582,45.503,,1.053767504,3.454491165
福建,东部,13,2018,445.34,11774.835,13131,14781,147005.37,41.058,,1.593216177,3.836273925
江西,中部,14,2018,236.28,9256.701,9286,8264.2,39556.67,40.839,,1.015675414,3.183021708
山东,东部,15,2018,696,43687.171,40581,22613,145052,26.742,,0.997543404,1.579262609
河南,中部,16,2018,641.75,28247.065,22659,17323.4,47163.82,18.292,,1.016179307,2.237033276
湖北,中部,17,2018,315.55,13895.039,16682,14849.6,45849,25.095,,1.102678983,4.501747476
湖南,中部,18,2018,312.32,11482.834,15544,10785.6,32240,26.162,,0.978203332,2.555815361
广东,东部,19,2018,1341.31,29085.181,33330,37651.1,122499.77,59.363,,0.999422021,4.074279388
广西,西部,20,2018,128.24,6819.024,10823,5101.9,36057,37.222,,1.124404814,2.349611965
海南,东部,21,2018,10.42,1213.851,2170,582,756,1.555,,1.105514009,6.128504805
