地区,所属地域,id,年份,规模以上工业企业平均用工人数（万人）,规模以上工业企业固定资产净值（亿元）,能源投入（万吨标准煤）,工业增加值(亿元),工业废水排放量（万吨）,工业固体废弃物排放量（万吨）,,GML指数,工业绿色全要素生产率
天津,东部,2,2002,120.95,1935.51,3022,830.5,21959,10.351,,1.071533345,1.096337186
河北,东部,3,2002,261.86,3143.8,11588,2175.3,106772,117.56,,1.043891425,1.077918731
山西,中部,4,2002,181.54,2112.5,9340,991.4,30777,131.05,,1.090177853,1.112982666
内蒙古,西部,5,2002,78.87,1154.05,4560,614.9,22737,39.28,,1.096215429,1.194821113
辽宁,东部,6,2002,250.49,4514.29,10602,2332,92001,76.349,,1.058485677,1.072078745
吉林,中部,7,2002,114.3,1722.61,4531,653.5,34783,32.937,,1.005124512,1.087538525
黑龙江,中部,8,2002,168.82,2426.43,6004,1650.8,47983,47.644,,1.029340803,1.065663122
上海,东部,9,2002,208.97,4067.17,6249,2399.1,64857,7.102,,1.075298534,1.109751658
江苏,东部,10,2002,531.67,5499.58,9609,4880.1,262715,59.569,,1.041571654,1.119674383
浙江,东部,11,2002,412.73,3806.5,8280,3670.4,168048,51.332,,0.974536966,0.967123406
安徽,中部,12,2002,149.36,1611.53,5316,1055.3,64577,44.797,,1.001095042,1.192671108
福建,东部,13,2002,178.96,1936.49,3762,1809,78511,22.232,,1.025398084,1.09193449
江西,中部,14,2002,95.72,984.82,2933,702.4,46119,38.831,,1.093168788,1.210298471
山东,东部,15,2002,556.37,5459.06,14599,4364.4,106668,110.568,,0.950549158,1.021218049
河南,中部,16,2002,322.47,2994.13,9055,2476.7,114431,130.554,,1.07624591,1.125101088
湖北,中部,17,2002,205.82,2466.61,6713,1473,98481,60.492,,1.04458614,1.147555751
湖南,中部,18,2002,152.26,1641.9,5045,1265.7,111788,97.552,,1.01199066,1.050067905
广东,东部,19,2002,644.39,6832.75,11355,5628.7,145236,51.38,,1.013515903,1.069572774
广西,西部,20,2002,82.31,1081.18,3120,699.2,97126,88.066,,1.061635093,1.105678378
海南,东部,21,2002,13.1,206.51,602,111.4,7170,2.326,,1.073746701,1.501823852
重庆,西部,22,2002,82.01,937.1,2662,803,79872,31.395,,1.13081653,1.219098947
四川,西部,23,2002,191.62,2514.49,7510,1392.1,117638,114.069,,1.0460022,1.121417024
贵州,西部,24,2002,65.16,905.34,4470,395.5,17117,50.35,,1.051997084,1.083294756
云南,西部,25,2002,68.59,1239.53,4131,796.5,33696,21.003,,1.03324715,1.088210426
陕西,西部,26,2002,113.87,1694.41,3713,819.5,30496,53.681,,1.09400308,1.112775747
甘肃,西部,27,2002,81.83,1033.55,3174,389.4,19677,23.234,,1.067691384,1.142560239
青海,西部,28,2002,13.48,460.24,989,66.5,3583,7.972,,1.125354888,1.296994007
宁夏,西部,29,2002,21.47,315.51,1378,120.5,11534,21.161,,1.130150701,1.130405346
新疆,西部,30,2002,41.36,1238.1,3723,463.6,16426,19.164,,0.993184838,1.017420615
北京,东部,1,2003,100.81,1940.85,4648,1195.1,13107,6.136,,1.217861944,1.456684592
天津,东部,2,2003,115.28,1953.25,3215,1021.3,21605,10.851,,1.225397626,1.343448985
河北,东部,3,2003,270.24,3454.34,13483,2563.2,108324,119.389,,1.08234725,1.166682374
山西,中部,4,2003,182.49,2372.26,10386,1364,30929,151.329,,1.269994006,1.413481316
内蒙古,西部,5,2003,72.15,1339.42,5778,663,23577,65.313,,0.977123154,1.167487374
辽宁,东部,6,2003,241.99,4367.12,11253,2532.7,89186,75.25,,1.10657555,1.186336127
吉林,中部,7,2003,101.48,1711.57,5174,660.1,31365,31.696,,1.020606139,1.109948495
黑龙江,中部,8,2003,133.14,2426.25,6714,1874.8,50286,52.636,,1.193768972,1.27215557
上海,东部,9,2003,220.01,4375.48,6796,3001.6,61112,6.665,,1.178103876,1.30740273
江苏,东部,10,2003,569.33,6420.01,11060,6004.7,247524,82.06,,1.079107782,1.208249339
浙江,东部,11,2003,481.96,4624.76,9523,4501.6,168088,56.22,,1.033790897,0.999803374
安徽,中部,12,2003,148.94,1811.03,5457,1185.7,63525,66.682,,1.046021737,1.247559904
福建,东部,13,2003,221.35,2170.21,4121,2059.3,98388,26.062,,1.000727564,1.092728943
江西,中部,14,2003,96.12,1091.18,3426,863.3,50135,52.197,,1.123833605,1.360174094
山东,东部,15,2003,595.42,6564.01,16837,4995.7,115933,126.403,,0.985334133,1.006241001
河南,中部,16,2003,317.32,3262.85,10595,2833.9,114224,136.749,,1.06014905,1.192774849
湖北,中部,17,2003,198.6,3606.75,7708,1682.2,96498,60.27,,0.910818417,1.045214912
湖南,中部,18,2003,158.44,1840.95,5562,1475.8,124132,111.303,,1.061541388,1.114690542
广东,东部,19,2003,741.17,7537.32,13099,6991.5,148867,65.773,,1.106967329,1.183982117
广西,西部,20,2003,82.93,1133.8,3523,788.4,119291,102.42,,1.068857512,1.18181264
海南,东部,21,2003,12,211.44,684,132.3,7181,2.342,,1.176999485,1.7676459
重庆,西部,22,2003,84.47,989.46,3009,953.1,81973,34.213,,1.117201375,1.36197902
四川,西部,23,2003,201.62,2846.42,9204,1627.9,120160,120.974,,1.036079871,1.161877606
贵州,西部,24,2003,65.53,935.45,5534,474.5,16815,47.551,,1.151080775,1.246959767
云南,西部,25,2003,66.36,1346.85,4450,895.6,34655,25.323,,1.072706141,1.167330006
陕西,西部,26,2003,112.12,1872.42,4170,1006.9,33526,59.695,,1.145939998,1.275174237
甘肃,西部,27,2003,77.82,1189.44,3525,452.3,20899,28.771,,1.069016212,1.221415418
青海,西部,28,2003,14.24,389.57,1066,79,3453,9.72,,1.252477388,1.624455665
宁夏,西部,29,2003,22.8,386.26,2015,150.2,10740,28.966,,1.038403135,1.173816455
新疆,西部,30,2003,39.66,1336.51,4177,563.7,16417,26.748,,1.160924755,1.181148778
北京,东部,1,2004,113.54,3045.2,5140,1483.2,12617,6.5,,0.951754838,1.386406607
天津,东部,2,2004,124.2,2275.86,3697,1207.2,22628,8.8,,1.045309564,1.404320073
河北,东部,3,2004,282.77,4003.95,15782,3047.8,127386,126.6,,1.054018288,1.229704558
山西,中部,4,2004,210.13,2962.97,11251,1757.8,31393,155,,1.082324101,1.529844894
内蒙古,西部,5,2004,81.44,1700.92,7623,823.4,22848,85.8,,1.000995964,1.168650149
辽宁,东部,6,2004,262.58,5026.97,13074,2629.7,91810,73.4,,0.91504144,1.085546718
吉林,中部,7,2004,104.59,1992.53,5603,735.1,33568,36.6,,1.001470982,1.111581209
黑龙江,中部,8,2004,141.38,2704.03,7466,2175.7,45190,54.5,,1.064026994,1.353607868
上海,东部,9,2004,260.82,5438.12,7406,3621.8,56359,7,,1.029436166,1.345887654
江苏,东部,10,2004,717.59,8972.97,13652,7407.8,263538,75.1,,0.938003328,1.133341901
浙江,东部,11,2004,620.99,6616.72,10825,5428.7,165274,54.1,,0.919711946,0.919531106
安徽,中部,12,2004,155.84,2025.22,6017,1378.2,64054,68.1,,1.06113102,1.323824514
福建,东部,13,2004,272.31,2537.77,4625,2422.2,115228,27.2,,1.008599485,1.102125849
江西,中部,14,2004,101.77,1220.26,3814,1149.8,54949,56.3,,1.209887593,1.645657761
山东,东部,15,2004,690.15,8355.02,19624,6497.7,128706,85.6,,1.068852438,1.075523147
河南,中部,16,2004,336.37,4036.15,13074,3536.8,117328,142.5,,1.048830457,1.251018591
湖北,中部,17,2004,176.8,3640.01,9120,1955.6,97451,61.7,,1.156378026,1.208663556
湖南,中部,18,2004,165.51,1994.23,7134,1768.8,123126,117.8,,1.085917721,1.210462213
广东,东部,19,2004,996.44,8693.16,15210,8433.2,164728,64.6,,1.018857077,1.206308559
广西,西部,20,2004,87.25,1331.13,4203,953.6,122731,105,,1.054864796,1.246652549
海南,东部,21,2004,11.6,280.57,742,147.6,6894,2.1,,0.954646558,1.687477075
重庆,西部,22,2004,90.05,1099.82,3590,1146.4,83031,34.5,,1.080958522,1.472242829
四川,西部,23,2004,209.78,3103.79,10700,1990,119223,120,,1.12587716,1.30813146
贵州,西部,24,2004,66.87,1320.13,6282,565.1,16119,43.4,,0.937969358,1.169610052
云南,西部,25,2004,65.69,1546.83,5210,1060.4,38402,26.1,,1.063166493,1.241066149
陕西,西部,26,2004,118.71,2282.93,4776,1269.9,36833,64,,1.096683862,1.398463007
甘肃,西部,27,2004,70.36,1377.05,3908,549.5,18293,27.6,,1.139089244,1.391301166
青海,西部,28,2004,14.02,603.74,1364,98.4,3544,13.9,,0.961053278,1.561188442
