省份代码,地区,年份,年末常住人口/万人,城镇人口/万人,乡村人口/万人
61,陕西省,2013,3804,1931.33,1832.67
61,陕西省,2014,3827,1984.61,1790.51
61,陕西省,2015,3846,2045.19,1747.81
61,陕西省,2016,3874,2110.11,1702.89
61,陕西省,2017,3904,2177.9,1657.1
61,陕西省,2018,3931,2246.14,1617.86
61,陕西省,2019,3944,2304,1572
61,陕西省,2020,3954.69,2478.01,1476.68
61,陕西省,2021,3954,2516,1438
61,陕西省,2022,3956,2532,1424
61,陕西省,2023,3952,2575,1377
61,陕西省,2024,3953,2615,1338
62,甘肃省,2000,2515,,
62,甘肃省,2001,2523.35,,
62,甘肃省,2002,2530.76,,
62,甘肃省,2003,2537.19,,
62,甘肃省,2004,2541.48,,
62,甘肃省,2005,2545.1,764.04,1781.06
62,甘肃省,2006,2546.79,791.8,1754.99
62,甘肃省,2007,2548.19,821.79,1726.4
62,甘肃省,2008,2550.88,856.08,1694.8
62,甘肃省,2009,2554.91,891.41,1663.5
62,甘肃省,2010,2559.98,924.66,1635.32
62,甘肃省,2011,2552,952.6,1611.59
62,甘肃省,2012,2550,998.8,1578.75
62,甘肃省,2013,2537,1036.23,1545.95
62,甘肃省,2014,2531,1079.84,1510.94
62,甘肃省,2015,2523,1122.75,1476.8
62,甘肃省,2016,2520,1166.41,1443.59
62,甘肃省,2017,2522,1218.2,1407.8
62,甘肃省,2018,2515,1257.59,1379.41
62,甘肃省,2019,2509,1284,1363
62,甘肃省,2020,2500.51,1306.02,1194.49
62,甘肃省,2021,2490,1328,1162
62,甘肃省,2022,2492,1351,1141
62,甘肃省,2023,2465,1368,1097
62,甘肃省,2024,2458,1397.03,1061.31
63,青海省,2000,517,,
63,青海省,2001,523.1,,
63,青海省,2002,529,,
63,青海省,2003,534,,
63,青海省,2004,539,,
63,青海省,2005,543.2,213.21,329.99
63,青海省,2006,547.7,215.03,332.67
63,青海省,2007,551.6,221.03,330.57
63,青海省,2008,554.3,226.49,327.81
63,青海省,2009,557.3,233.51,323.79
63,青海省,2010,563.47,251.98,311.49
63,青海省,2011,568,262.61,305.56
63,青海省,2012,571,271.91,301.26
63,青海省,2013,571,280.29,297.5
63,青海省,2014,576,290.43,292.99
63,青海省,2015,577,295.98,292.45
63,青海省,2016,582,306.17,286.83
63,青海省,2017,586,317.36,280.64
63,青海省,2018,587,328.45,274.55
63,青海省,2019,590,337,271
63,青海省,2020,592.79,356.15,236.64
63,青海省,2021,594,362,232
63,青海省,2022,595,366,229
63,青海省,2023,594,373,221
63,青海省,2024,593,379,214
64,宁夏回族自治区,2000,554,,
64,宁夏回族自治区,2001,563,,
64,宁夏回族自治区,2002,572,,
64,宁夏回族自治区,2003,580,,
64,宁夏回族自治区,2004,588,,
64,宁夏回族自治区,2005,596.2,252.07,344.13
64,宁夏回族自治区,2006,603.73,259.6,344.13
64,宁夏回族自治区,2007,610.25,268.63,341.62
64,宁夏回族自治区,2008,617.69,277.84,339.85
64,宁夏回族自治区,2009,625.2,288.22,336.98
64,宁夏回族自治区,2010,632.96,303.19,329.77
64,宁夏回族自治区,2011,648,318.57,320.88
64,宁夏回族自治区,2012,659,327.93,319.26
64,宁夏回族自治区,2013,666,340.24,313.95
64,宁夏回族自治区,2014,678,354.65,306.89
64,宁夏回族自治区,2015,684,368.87,299.01
64,宁夏回族自治区,2016,695,379.96,295.04
64,宁夏回族自治区,2017,705,395.42,286.58
64,宁夏回族自治区,2018,710,405.09,282.91
64,宁夏回族自治区,2019,717,416,279
64,宁夏回族自治区,2020,720.93,468.32,252.61
64,宁夏回族自治区,2021,725,479,246
64,宁夏回族自治区,2022,728,483,245
64,宁夏回族自治区,2023,729,491,238
64,宁夏回族自治区,2024,729,497,232
65,新疆维吾尔自治区,2000,1849,,
65,新疆维吾尔自治区,2001,1876.19,,
65,新疆维吾尔自治区,2002,1905,,
65,新疆维吾尔自治区,2003,1934,,
65,新疆维吾尔自治区,2004,1963,,
65,新疆维吾尔自治区,2005,2010.35,746.85,1263.5
65,新疆维吾尔自治区,2006,2050,777.77,1272.23
65,新疆维吾尔自治区,2007,2095.19,820.27,1274.92
65,新疆维吾尔自治区,2008,2130.81,844.65,1286.16
65,新疆维吾尔自治区,2009,2158.63,860.21,1298.42
65,新疆维吾尔自治区,2010,2185,939.77,1245.23
65,新疆维吾尔自治区,2011,2225,961.67,1247.04
65,新疆维吾尔自治区,2012,2253,981.98,1250.8
65,新疆维吾尔自治区,2013,2285,1006.93,1257.37
65,新疆维吾尔自治区,2014,2325,1058.91,1239.56
65,新疆维吾尔自治区,2015,2385,1114.5,1245.23
65,新疆维吾尔自治区,2016,2428,1159.43,1238.57
65,新疆维吾尔自治区,2017,2480,1207.34,1237.66
65,新疆维吾尔自治区,2018,2520,1266.13,1220.87
65,新疆维吾尔自治区,2019,2559,1309,1214
65,新疆维吾尔自治区,2020,2590.49,1464.4,1126.09
65,新疆维吾尔自治区,2021,2589,1482,1107
65,新疆维吾尔自治区,2022,2587,1498,1089
65,新疆维吾尔自治区,2023,2598,1539,1059
65,新疆维吾尔自治区,2024,2623,1583.1,1039.7
注：常住人口包括：居住在本乡镇街道且户口在本乡镇街道或户口待定的人；居住在本乡镇街道且离开户口登记地所在的乡镇街道半年以上的人；户口在本乡镇街道且外出不满半年或在境外工作学习的人。,注：常住人口包括：居住在本乡镇街道且户口在本乡镇街道或户口待定的人；居住在本乡镇街道且离开户口登记地所在的乡镇街道半年以上的人；户口在本乡镇街道且外出不满半年或在境外工作学习的人。,,,,
