省份代码,地区,年份,年末常住人口/万人,城镇人口/万人,乡村人口/万人
21,辽宁省,2009,4341,2619.79,1721.21
21,辽宁省,2010,4375,2717,1658
21,辽宁省,2011,4379,2807.31,1575.69
21,辽宁省,2012,4375,2881.38,1507.62
21,辽宁省,2013,4365,2917.16,1472.85
21,辽宁省,2014,4358,2944.17,1446.83
21,辽宁省,2015,4338,2951.55,1430.85
21,辽宁省,2016,4327,2949.46,1428.54
21,辽宁省,2017,4312,2948.64,1420.36
21,辽宁省,2018,4291,2968.48,1390.52
21,辽宁省,2019,4277,2964,1388
21,辽宁省,2020,4255.49,3069.91,1185.58
21,辽宁省,2021,4229,3079,1150
21,辽宁省,2022,4197,3064,1133
21,辽宁省,2023,4182,3074,1108
21,辽宁省,2024,4155,3082,1073
22,吉林省,2000,2682,,
22,吉林省,2001,2690.8,,
22,吉林省,2002,2699,,
22,吉林省,2003,2704,,
22,吉林省,2004,2709,,
22,吉林省,2005,2716,1426.44,1289.56
22,吉林省,2006,2723,1442.37,1280.63
22,吉林省,2007,2729.82,1451.17,1278.65
22,吉林省,2008,2734.21,1454.87,1279.34
22,吉林省,2009,2739.55,1460.73,1278.82
22,吉林省,2010,2746.6,1465.31,1281.29
22,吉林省,2011,2725,1468.18,1281.23
22,吉林省,2012,2698,1476.96,1273.44
22,吉林省,2013,2668,1491.19,1260.09
22,吉林省,2014,2642,1508.58,1243.8
22,吉林省,2015,2613,1522.86,1230.46
22,吉林省,2016,2567,1529.66,1203.34
22,吉林省,2017,2526,1539.18,1177.82
22,吉林省,2018,2484,1555.61,1148.39
22,吉林省,2019,2448,1568,1123
22,吉林省,2020,2399.23,1502.88,896.35
22,吉林省,2021,2375,1505,870
22,吉林省,2022,2348,1496,852
22,吉林省,2023,2339,1514,825
22,吉林省,2024,2317,1523.89,793.42
23,黑龙江省,2000,3807,,
23,黑龙江省,2001,3811,,
23,黑龙江省,2002,3813,,
23,黑龙江省,2003,3815,,
23,黑龙江省,2004,3817,,
23,黑龙江省,2005,3819.95,2028.39,1791.56
23,黑龙江省,2006,3823.01,2045.31,1777.7
23,黑龙江省,2007,3824.03,2061.12,1762.91
23,黑龙江省,2008,3825.04,2119.07,1705.97
23,黑龙江省,2009,3826.01,2123.44,1702.57
23,黑龙江省,2010,3833.35,2133.67,1699.68
23,黑龙江省,2011,3782,2166.22,1667.79
23,黑龙江省,2012,3724,2181.57,1652.47
23,黑龙江省,2013,3666,2201.3,1633.72
23,黑龙江省,2014,3608,2223.52,1609.48
23,黑龙江省,2015,3529,2241.28,1570.42
23,黑龙江省,2016,3463,2249.01,1549.99
23,黑龙江省,2017,3399,2250.49,1538.21
23,黑龙江省,2018,3327,2267.57,1505.43
23,黑龙江省,2019,3255,2284,1467
