uid,province_id,province,year,co2_emissions,gdp,sec_val,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance,gf_index,green_finance_pilot,ln_gdp,ln_co2,z_green_invention_patents,z_green_utility_patents,z_credit,z_bond,z_investment,z_insurance,z_equity,z_fund,z_carbon_finance,factor_1,factor_2,factor_3,coal_share_pctg,population,urban_population,urbanization_rate,env_expenditure,env_exp_share,sec_pctg,industrial_wastewater,industrial_so2,industrial_solid_waste,gtfp_level,gml_index,market_index,market_gov_relation,market_npoe_dev,market_product_dev,market_factor_dev,market_legal_env,ln_so2,treat,event_time,pre_2,post_0,post_1,post_2,did_pre2,did_post0,did_post1,did_post2
3110,1,Shanghai,2010,167517168,18319.6,7434.8999,2107,1547,.034000002,.097999997,.056000002,.026000001,.054000001,.045000002,2.609,.182,0,9.8157272,18.936596,.02104705,-.12768339,-.27785265,-.45650762,-.42129004,-.38797015,-.17489201,-.41382575,-.28395969,-.39958918,-.10149014,-.44125208,.21393093,2302.6599,2056.3701,.89304107,47.305099,.014322352,.405844,36696,22.1,5.1999998,1.9867024,1.2087771,9.9490004,10.901,9.7919998,8.1339998,13.152,10.583,3.1398327,0,-11,0,0,0,0,0,0,0,0
3111,1,Shanghai,2011,174438240,20406.1,8169.2998,2435,1793,.037,.111,.064000003,.024,.054000001,.046999998,2.51,.24600001,0,9.9235888,18.977081,.10081709,-.068439603,.089545049,.089202672,-.40493461,-.44860449,-.17489201,-.23066932,-.29990542,-.098883197,-.1474124,-.37557623,.21985976,2356,2096.28,.88976228,51.619999,.013185589,.40033618,44626,21.009001,6.645,2.1989539,1.106836,10.318,10.803,9.8009996,8.1339998,13.616,10.501,3.0914514,0,-10,0,0,0,0,0,0,0,0
3112,1,Shanghai,2012,179224048,21774.9,8174.1001,2797,2113,.035,.106,.066,.024,.055,.048,2.3050001,.111,0,9.988513,19.004147,.18885598,.0086254748,-.15538691,-.12068596,-.40084577,-.44860449,-.09427274,-.13909078,-.33292434,-.19748777,-.051648993,-.39321703,.19659264,2399,2125.72,.88608587,55.1842,.013189287,.37539092,46359,19.341,6.3730001,2.2132587,1.0065054,10.068,9.2959995,9.8909998,8.1339998,13.415,11.002,3.0126386,0,-9,0,0,0,0,0,0,0,0
3113,1,Shanghai,2013,181945392,23809.4,8286.5,3216,1995,.039999999,.109,.059,.022,.059,.050999999,2.3559999,.19599999,0,10.077836,19.019217,.29075733,-.019792272,.45694274,.0052470979,-.41515675,-.50923884,.22820497,.13564421,-.32470989,.17436342,-.14475705,-.32379478,.18016645,2448,2163.97,.88397467,56.427299,.012460187,.3480348,45426,17.287001,6.717,2.2302651,1.0076839,10.275,9.2950001,10.231,8.1339998,13.606,11.012,2.9061904,0,-8,0,0,0,0,0,0,0,0
3114,1,Shanghai,2014,186258096,25964.5,8633.2998,3433,2338,.035999998,.115,.071999997,.030999999,.057,.050000001,2.191,.139,0,10.164486,19.042645,.34353203,.062811859,-.032921158,.25711352,-.38857919,-.2363843,.066966116,.044065997,-.35128608,.010367665,.040654425,-.35505795,.1857293,2467,2173.4099,.88099313,77.318703,.015704213,.33250397,43939,15.536,13.143,2.3952076,1.0739565,10.766,10.84,10.391,8.9899998,14.16,12.577,2.8055398,0,-7,0,0,0,0,0,0,0,0
3115,1,Shanghai,2015,193922496,27821.6,8408.7002,4423,3043,.039999999,.121,.064999998,.037999999,.061000001,.057,1.965,.266,0,10.233568,19.08297,.58430135,.23259586,.45694274,.50897962,-.40289018,-.024164131,.38944381,.6851145,-.38768741,.43728006,.15225457,-.28516731,.16700685,2458,2115.78,.86077297,104.35,.016853588,.30223641,46939,10.485,11.137,2.3186848,.96805161,11.113,10.754,10.386,9.0100002,14.387,14.132,2.4410417,0,-6,0,0,0,0,0,0,0,0
3116,1,Shanghai,2016,181333616,30963.9,8570.2002,5144,3798,.039999999,.12800001,.052000001,.055,.064000003,.059,1.789,.264,0,10.340577,19.015848,.75964952,.41442129,.45694274,.80282384,-.42946777,.49122781,.63130224,.86827129,-.41603538,.57411486,.4160291,-.28880024,.14759661,2467,2127.1799,.86225373,134.41,.019426387,.2767804,36600,6.3569999,4.152,2.5139265,1.0842037,11.225,8.6040001,10.264,8.2950001,15.642,13.322,1.9956522,0,-5,0,0,0,0,0,0,0,0
3117,1,Shanghai,2017,183883760,34378.301,9525.9004,6228,4934,.037,.121,.050000001,.078000002,.063000001,.059,1.849,.164,0,10.445181,19.029814,1.0232798,.68800229,.089545049,.50897962,-.43355665,1.1885228,.55068266,.86827129,-.4063713,.27065447,.94317716,-.32457682,.12367996,2466,2120.5901,.85993105,224.66,.029765675,.27709049,31600,1.352,1.789,3.4409866,1.3687698,11.233,8.6330004,10.415,8.2950001,15.228,13.596,.85526603,0,-4,0,0,0,0,0,0,0,0
3118,1,Shanghai,2018,188922192,37769.102,10360.8,7335,5421,.041000001,.131,.057,.079999998,.071000002,.061999999,1.813,.26499999,0,10.539247,19.056847,1.2925037,.80528569,.57940894,.92875659,-.41924563,1.2491571,1.1956381,1.1430062,-.41216975,.74487281,.99195659,-.2113294,.13308696,2475,2135.54,.86284447,233.39,.027945751,.27431947,29100,1.082,1.623,4.9483142,1.438051,11.379,8.6599998,10.454,8.2950001,15.692,13.796,.733329,0,-3,0,0,0,0,0,0,0,0
3119,1,Shanghai,2019,196674960,40241.199,10317.1,8838,7331,.046999998,.141,.059,.071000002,.071999997,.068000004,1.5140001,.366,0,10.602647,19.097063,1.6580353,1.2652678,1.3142043,1.3485339,-.41515675,.97630262,1.276257,1.6924769,-.46032906,1.172932,1.135268,-.075654805,.13364752,2481,2144,.86416769,184.0737,.022504866,.25638151,34100,.722,1.353,3.6416609,.73593974,11.104,8.2139997,10.439,7.0289998,15.541,14.297,.54348642,0,-2,1,0,0,0,0,0,0,0
3120,1,Shanghai,2020,193113584,41603.898,10356.7,10179,9166,.052000001,.14300001,.063000001,.068999998,.078000002,.064000003,1.566,.433,0,10.635949,19.078789,1.9841683,1.707188,1.9265344,1.4324894,-.40697905,.91566819,1.7599739,1.3261634,-.45195353,1.3200756,1.4083334,.028797776,.14036244,2488.22,2221.98,.89299983,181.8848,.022449059,.2489358,31200,.51999998,.79000002,4.2956491,1.1795851,11.104,8.2139997,10.439,7.0289998,15.541,14.297,.41871032,0,-1,0,0,0,0,0,0,0,0
3121,1,Shanghai,2021,202709664,47059.398,11425.4,11437,8842,.048999999,.15099999,.052000001,.056000002,.078000002,.066,1.431,.34900001,0,10.759166,19.127285,2.2901156,1.6291596,1.5591363,1.7683104,-.42946777,.52154505,1.7599739,1.5093198,-.47369769,1.3534116,1.3728474,.046263289,.12988281,2489,2223,.89312977,159.30099,.018894996,.24278679,32100,.55400002,.75599998,4.9945827,1.1627073,11.104,8.2139997,10.439,7.0289998,15.541,14.297,.44083226,0,0,0,1,0,0,0,0,0,0
3122,1,Shanghai,2022,196101248,48594.5,11386.4,11055,7100,.048999999,.156,.052999999,.057,.079000004,.066,1.391,.38100001,0,10.791265,19.094141,2.1972127,1.2096366,1.5591363,1.9781994,-.42742336,.55186218,1.8405935,1.5093198,-.48014039,1.4913507,1.1226276,.0201161,.13729274,2475,2211,.89333332,203.81261,.021697985,.23431459,32300,.653,.81400001,4.9527917,.9916327,11.104,8.2139997,10.439,7.0289998,15.541,14.297,.50259179,0,1,0,0,1,0,0,0,0,0
3123,1,Shanghai,2023,205270736,51404.5,11542.9,11219,7742,.050000001,.152,.052999999,.057999998,.079999998,.064999998,1.321,.39300001,0,10.847481,19.139841,2.2370977,1.3642484,1.6816025,1.8102882,-.42742336,.58217931,1.9212124,1.4177412,-.49141517,1.4516376,1.2261995,.02413789,,2487,2225,.89465219,254.97,.026453258,.22455038,31536.879,.51300001,.741,4.9569097,1.0008315,11.104,8.2139997,10.439,7.0289998,15.541,14.297,.41409445,0,2,0,0,0,1,0,0,0,0
5300,2,Yunnan,2000,72648408,2052.3,836.20001,27,40,.025,.068000004,.26100001,.015,.034000002,.033,4.0570002,.28400001,0,7.6267166,18.101143,-.48481175,-.49061173,-1.3800464,-1.7158384,-.002181812,-.72145903,-1.7872802,-1.5127664,-.050733332,-1.6753086,-.15694682,-.34872779,,4241,,,,,.40744531,35117,32.384998,35.537998,1,1,4.2179999,6.4489999,1.849,6.9860001,3.5450001,1.865,3.5081067,0,-21,0,0,0,0,0,0,0,0
5301,2,Yunnan,2001,75648288,2186.3999,871.40002,42,30,.027000001,.075999998,.229,.016000001,.037,.032000002,3.023,.35100001,0,7.6900115,18.141605,-.48116374,-.49302003,-1.1351144,-1.3800172,-.067603596,-.69114184,-1.5454221,-1.6043446,-.21727757,-1.4799474,-.22243725,-.44228119,,4287.3999,,,,,.39855474,32713,29.441999,53.166,1.0531948,1.0531948,3.947,6.414,1.352,6.2519999,3.8529999,1.3099999,3.4158232,0,-20,0,0,0,0,0,0,0,0
5302,2,Yunnan,2002,79207728,2392,942.09998,46,43,.027000001,.077,.27000001,.018999999,.039999999,.035999998,3.4219999,.38800001,0,7.7798853,18.187584,-.48019093,-.48988923,-1.1351144,-1.3380393,.016218068,-.60019034,-1.303564,-1.2380314,-.15301149,-1.2888415,-.2375394,-.33491117,,4333,,,,,.3938545,33696,29.312,21.003,1.0882105,1.0332471,3.7479999,6.454,2.0910001,5.4840002,3.398,1.283,3.4115436,0,-19,0,0,0,0,0,0,0,0
5303,2,Yunnan,2003,94204008,2673.6001,1059.8,66,47,.027000001,.077,.228,.018999999,.041000001,.034000002,3.063,.252,0,7.891181,18.360973,-.4753269,-.48892593,-1.1351144,-1.3380393,-.069648027,-.60019034,-1.2229444,-1.4211878,-.21083486,-1.3299803,-.23361343,-.42021129,.63916361,4376,,,,,.39639437,34655,38.068001,25.323,1.16733,1.0727061,4.2199998,6.632,3.3269999,5.4130001,4.4460001,1.281,3.6653037,0,-18,0,0,0,0,0,0,0,0
5304,2,Yunnan,2004,109501160,3185.3,1267.8,59,38,.026000001,.082000002,.215,.027000001,.044,.035999998,1.645,.29899999,0,8.0663013,18.511446,-.47702929,-.4910934,-1.2575804,-1.1281507,-.096225619,-.35765296,-.98108631,-1.2380314,-.43922916,-1.2015949,-.22296371,-.54753864,.65106589,4415,,,,,.39801589,38402,40,26.1,1.2410661,1.0631665,4.7470002,6.9809999,4.664,5.9759998,4.8309999,1.513,3.713572,0,-17,0,0,0,0,0,0,0,0
5305,2,Yunnan,2005,119960512,3553.3,1387.3,90,38,.028000001,.086000003,.27500001,.02,.046999998,.041000001,1.784,.33899999,0,8.1756325,18.602673,-.46949005,-.4910934,-1.0126485,-.96023983,.026440211,-.56987321,-.73922813,-.78013927,-.4168407,-.86142254,-.37188709,-.39907268,.66423851,4450.3999,1312.87,.29500046,,,.3904258,32928,42.900002,32.599998,1.2747201,1.0271169,5.283,8.2189999,5.5380001,5.8319998,5.3119998,2.855,3.7819145,0,-16,0,0,0,0,0,0,0,0
5306,2,Yunnan,2006,142414880,4157.7002,1674.2,97,73,.033,.088,.221,.017999999,.045000002,.041999999,1.99,.30599999,0,8.3327169,18.774256,-.46778765,-.48266441,-.40031886,-.8762846,-.083959043,-.63050753,-.90046668,-.68856108,-.38366073,-.69394535,-.43785852,-.40867877,.65114039,4483,1367.3199,.30500111,,,.40267453,34286,45.599998,30.799999,1.3283033,1.0420352,5.9619999,8.3039999,5.4089999,7.4289999,5.8130002,3.02,3.8416004,0,-15,0,0,0,0,0,0,0,0
5307,2,Yunnan,2007,161465056,5166,2057.3999,107,62,.028000001,.093999997,.189,.015,.048999999,.043000001,1.78,.222,0,8.5498543,18.899799,-.46535563,-.4853135,-1.0126485,-.6244185,-.14938082,-.72145903,-.57798928,-.59698254,-.417485,-.6821472,-.47751784,-.46304283,.62628967,4514,1426.42,.31599912,31.381599,.02764369,.39825782,35352.281,44.539001,29.027,1.3759137,1.0358431,6.1900001,8.2910004,6.3179998,6.974,6.348,3.467,3.8185692,0,-14,0,0,0,0,0,0,0,0
5308,2,Yunnan,2008,165360704,6120.6001,2476.1001,163,114,.035,.097000003,.185,.028999999,.050000001,.048,1.309,.42300001,0,8.7194157,18.923639,-.45173636,-.47279042,-.15538691,-.49848512,-.15755853,-.29701865,-.49736974,-.13909078,-.49334797,-.2744987,-.4633936,-.45359942,.62667745,4543,1499.1899,.33000001,58.458199,.039761025,.40455186,32996,41.993,27.347,1.5887649,1.154698,5.8699999,8.2930002,6.8670001,6.2880001,5.0570002,3.925,3.7610373,0,-13,0,0,0,0,0,0,0,0
5309,2,Yunnan,2009,170803504,6690.2002,2605.3999,172,146,.030999999,.097000003,.152,.043000001,.052000001,.045000002,1.2180001,.21699999,0,8.8083992,18.956024,-.44954756,-.46508393,-.6452508,-.49848512,-.22502474,.12742181,-.33613086,-.41382575,-.50800514,-.47535139,-.2793107,-.55640733,.63159579,4571,1554.14,.34,82.157898,.04208177,.38943526,32375.205,41.782001,22.538,1.3930064,.87678576,5.8909998,7.947,6.7839999,6.2880001,5.132,4.007,3.7561176,0,-12,0,0,0,0,0,0,0,0
5310,2,Yunnan,2010,181827088,7869.8999,3267.7,236,182,.033,.1,.14,.041999999,.052999999,.045000002,1.279,.204,0,8.9708004,19.018566,-.43398267,-.4564141,-.40031886,-.37255207,-.2495579,.097104572,-.25551158,-.41382575,-.49818,-.3513751,-.31391644,-.54040468,.58593184,4601.6001,1596.76,.34700105,86.405998,.037802473,.41521493,30926,44,18.1,1.5477284,1.1110705,5.9200001,8.6420002,6.8779998,6.2880001,4.8569999,3.78,3.8066626,0,-11,0,0,0,0,0,0,0,0
5311,2,Yunnan,2011,197174336,9666.2002,3811.3999,264,230,.033,.102,.139,.041999999,.056000002,.048999999,.72100002,.168,0,9.1763906,19.099598,-.42717302,-.44485435,-.40031886,-.28859681,-.25160235,.097104572,-.01365316,-.047512557,-.58805591,-.15788631,-.37120971,-.55583721,.55871832,4620,1704.21,.36887664,95.860001,.032721192,.39430177,47228,64.251999,35.282001,1.7133411,1.1070038,5.9359999,8.4399996,7.5749998,6.2880001,4.6760001,3.8,4.1782565,0,-10,0,0,0,0,0,0,0,0
5312,2,Yunnan,2012,212927888,11266.3,4458.3999,361,302,.041000001,.114,.127,.043000001,.061000001,.054000001,.78600001,.447,0,9.3295708,19.176464,-.40358248,-.4275147,.57940894,.21513572,-.2761355,.12742181,.38944381,.41037953,-.57758647,.49921998,-.53362578,-.4509941,.55164337,4631,1831.45,.39547613,101.1156,.02830263,.39572886,42811,62.259998,35.952,1.7804772,1.0391843,5.5619998,4.6170001,8.0030003,6.2880001,4.973,2.835,4.147253,0,-9,0,0,0,0,0,0,0,0
5313,2,Yunnan,2013,222280624,13027,5000.5,413,358,.037999999,.11,.115,.050999999,.059999999,.052000001,.861,.245,0,9.4747791,19.219452,-.39093602,-.41402832,.21201079,.047224887,-.30066866,.36995912,.30882424,.22722276,-.5655064,.2552433,-.37990206,-.50991964,.56621838,4641,1897.14,.40877828,105.2946,.025703469,.38385659,41844,61.294998,35.477001,1.7845169,1.0022689,5.3759999,4.6279998,8.0860004,6.2880001,4.9200001,2.964,4.1318812,0,-8,0,0,0,0,0,0,0,0
5314,2,Yunnan,2014,219312000,14275.1,5376.5,557,574,.043000001,.119,.12800001,.048,.061000001,.052999999,.71799999,.33899999,0,9.5662718,19.206005,-.35591504,-.36200938,.82434088,.42502436,-.27409106,.27900764,.38944381,.31880099,-.58853912,.58242351,-.46369532,-.43885782,.53728074,4653,1967.11,.42276165,108.8821,.024534173,.37663484,40443,58.256001,32.995998,1.7844125,.99994147,5.8210001,5.9310002,7.8210001,7.3649998,5.4920001,2.651,4.0818672,0,-7,0,0,0,0,0,0,0,0
5315,2,Yunnan,2015,214986352,15358.6,5491.7002,706,773,.039999999,.124,.11,.054000001,.064999998,.054000001,.68400002,.317,0,9.639431,19.186085,-.31967804,-.31408453,.45694274,.63491267,-.31089082,.46091071,.71192122,.41037953,-.59401542,.63318241,-.39120695,-.46021768,.52613264,4663,2054.6201,.44062191,134.08,.028449997,.35756516,45933,52.376999,26.136999,1.7714462,.9927336,5.4790001,5.7989998,6.756,7.2470002,5.336,2.277,3.97738,0,-6,0,0,0,0,0,0,0,0
5316,2,Yunnan,2016,210642416,16773.6,5747.3999,973,1016,.039000001,.117,.102,.054000001,.057999998,.052999999,.61199999,.115,0,9.727562,19.165672,-.25474328,-.25556326,.33447701,.34106877,-.32724625,.46091071,.14758539,.31880099,-.60561228,.31340602,-.24925093,-.51504087,.52851379,4677,2148.3799,.45935002,150.13,.029913168,.34264559,49157.809,41.48,47.854,1.809311,1.0213751,5.2160001,5.4489999,6.0749998,6.8010001,5.2379999,2.5150001,3.7490335,0,-5,0,0,0,0,0,0,0,0
5317,2,Yunnan,2017,212542304,18864.6,6317.7998,1094,1448,.041000001,.138,.134,.07,.068999998,.064000003,.57499999,.417,0,9.8450422,19.174652,-.22531591,-.15152539,.57940894,1.2226005,-.26182449,.94598538,1.0343989,1.3261634,-.61157185,1.1425972,-.28312695,-.36175931,.50849354,4693,2241.3501,.47759429,179.48,.031416234,.33490241,20613.43,22.507999,39.806,2.0403414,1.1276897,5.6939998,5.4450002,7.3930001,6.8010001,6.086,2.7460001,3.1573408,0,-4,0,0,0,0,0,0,0,0
5318,2,Yunnan,2018,217358240,21427.5,7267.5,1362,1881,.043000001,.13500001,.106,.064999998,.071999997,.057,.74699998,.28999999,0,9.9724302,19.197058,-.16013795,-.047246706,.82434088,1.0966678,-.31906855,.79439944,1.276257,.6851145,-.58386815,1.0427938,-.22537072,-.37311876,.49666682,4703,2309.22,.49100998,169.81,.027952133,.33916697,19814.83,21.330999,43.200001,2.2268014,1.0913867,5.829,5.3969998,7.5640001,6.8010001,6.006,3.3789999,3.1059759,0,-3,0,0,0,0,0,0,0,0
5319,2,Yunnan,2019,216829872,23902.1,8152.1001,1378,1861,.041000001,.138,.090999998,.074000001,.068000004,.061000001,.51700002,.221,0,10.081721,19.194624,-.15624674,-.052063275,.57940894,1.2226005,-.34973499,1.0672541,.95377994,1.0514281,-.62091374,1.0063769,-.14128186,-.43006107,.48210138,4714,2376,.50403053,205.1577,.030303551,.3410621,22858.828,20.355,44.950001,2.4423587,1.0968014,6.8670001,6.4590001,7.802,4.4439998,6.9460001,8.6850004,3.061286,0,-2,1,0,0,0,0,0,0,0
5320,2,Yunnan,2020,215735424,25214.5,8427.7998,1584,2672,.044,.132,.079999998,.056000002,.071000002,.059999999,.55400002,.17,0,10.135175,19.189564,-.10614725,.14324853,.94680667,.97073436,-.37222373,.52154505,1.1956381,.95984948,-.61495423,1.0766459,-.21995935,-.37758708,.46500194,4722.2202,2363.47,.50049978,163.96809,.023511283,.33424419,41064.969,14.619,24.301001,2.4090085,.98634499,6.8670001,6.4590001,7.802,4.4439998,6.9460001,8.6850004,2.7484882,0,-1,0,0,0,0,0,0,0,0
5321,2,Yunnan,2021,219190752,27895.301,9535.2002,1585,2390,.048,.142,.077,.048999999,.077,.061999999,.479,.271,0,10.236214,19.205454,-.10590405,.075334936,1.4366705,1.3905116,-.37835702,.30932474,1.6793543,1.1430062,-.62703431,1.5403731,-.44679984,-.30652979,.43644306,4690,2394,.51044774,136.1013,.020514602,.34182101,40021.449,11.712,15.291,3.071445,1.274983,6.8670001,6.4590001,7.802,4.4439998,6.9460001,8.6850004,2.5425465,0,0,0,1,0,0,0,0,0,0
5322,2,Yunnan,2022,212591584,29301.1,9985.7998,1919,2416,.046999998,.146,.077,.050000001,.075000003,.061999999,.43200001,.271,0,10.28538,19.174883,-.024674803,.081596471,1.3142043,1.5584221,-.37835702,.33964199,1.5181158,1.1430062,-.63460451,1.4964939,-.38890293,-.31244159,.40231675,4693,2427,.5171532,146.9509,.021933643,.34079948,18100,11.633,15.632,4.3940845,1.4306245,6.8670001,6.4590001,7.802,4.4439998,6.9460001,8.6850004,2.5363126,0,1,0,0,1,0,0,0,0,0
5323,2,Yunnan,2023,224286160,30595.801,10021.4,2319,2532,.048,.146,.075999998,.050000001,.075000003,.061000001,.40099999,.28099999,0,10.328618,19.228434,.072605737,.10953256,1.4366705,1.5584221,-.38040146,.33964199,1.5181158,1.0514281,-.63959765,1.4904937,-.33349776,-.30545431,,4673,2473,.52921033,154,.022882342,.32754168,17077.615,10.101,15.629,5.4980817,1.2512463,6.8670001,6.4590001,7.802,4.4439998,6.9460001,8.6850004,2.4070351,0,2,0,0,0,1,0,0,0,0
1500,3,Neimenggu,2000,140109200,1551.3,582.59998,11,21,.024,.071000002,.36399999,.032000002,.037,.033,3.523,.45500001,0,7.3468485,18.757933,-.48870298,-.49518746,-1.5025125,-1.5899054,.20839448,-.20606707,-1.5454221,-1.5127664,-.13674362,-1.6060445,-.018980335,-.29107833,,2372,,,,,.37555596,21844,50.631001,47.894001,1,1,3.4189999,3.2780001,2.7060001,6.6339998,1.6109999,2.233,3.9441223,1,-21,0,0,0,0,0,0,0,0
1501,3,Neimenggu,2001,142679840,1729.5,655.70001,15,27,.024,.07,.322,.032000002,.037999999,.029999999,4.0749998,.278,0,7.4555879,18.776114,-.48773018,-.4937425,-1.5025125,-1.6318833,.12252842,-.20606707,-1.4648029,-1.7875015,-.047834165,-1.68276,.0077606039,-.30614656,,2381.45,,,,,.37912694,20960,48.511002,133.467,1.089951,1.089951,3.355,4.0229998,3.4260001,5.8860002,1.206,1.908,3.902195,1,-20,0,0,0,0,0,0,0,0
