uid,province_id,province,year,co2_emissions,gdp,sec_val,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance,gf_index,green_finance_pilot,ln_gdp,ln_co2,z_green_invention_patents,z_green_utility_patents,z_credit,z_bond,z_investment,z_insurance,z_equity,z_fund,z_carbon_finance,factor_1,factor_2,factor_3,coal_share_pctg,population,urban_population,urbanization_rate,env_expenditure,env_exp_share,treat,event_time,pre_2,post_0,post_1,post_2,did_pre2,did_post0,did_post1,did_post2,sec_pctg
3110,1,Shanghai,2010,167517168,18319.6,7434.8999,2107,1547,.034000002,.097999997,.056000002,.026000001,.054000001,.045000002,2.609,.182,0,9.8157272,18.936596,.02104705,-.12768339,-.27785265,-.45650762,-.42129004,-.38797015,-.17489201,-.41382575,-.28395969,-.39958918,-.10149014,-.44125208,.21393093,2302.6599,2056.3701,.89304107,47.305099,.014322352,0,-11,0,0,0,0,0,0,0,0,.405844
3111,1,Shanghai,2011,174438240,20406.1,8169.2998,2435,1793,.037,.111,.064000003,.024,.054000001,.046999998,2.51,.24600001,0,9.9235888,18.977081,.10081709,-.068439603,.089545049,.089202672,-.40493461,-.44860449,-.17489201,-.23066932,-.29990542,-.098883197,-.1474124,-.37557623,.21985976,2356,2096.28,.88976228,51.619999,.013185589,0,-10,0,0,0,0,0,0,0,0,.40033618
3112,1,Shanghai,2012,179224048,21774.9,8174.1001,2797,2113,.035,.106,.066,.024,.055,.048,2.3050001,.111,0,9.988513,19.004147,.18885598,.0086254748,-.15538691,-.12068596,-.40084577,-.44860449,-.09427274,-.13909078,-.33292434,-.19748777,-.051648993,-.39321703,.19659264,2399,2125.72,.88608587,55.1842,.013189287,0,-9,0,0,0,0,0,0,0,0,.37539092
3113,1,Shanghai,2013,181945392,23809.4,8286.5,3216,1995,.039999999,.109,.059,.022,.059,.050999999,2.3559999,.19599999,0,10.077836,19.019217,.29075733,-.019792272,.45694274,.0052470979,-.41515675,-.50923884,.22820497,.13564421,-.32470989,.17436342,-.14475705,-.32379478,.18016645,2448,2163.97,.88397467,56.427299,.012460187,0,-8,0,0,0,0,0,0,0,0,.3480348
3114,1,Shanghai,2014,186258096,25964.5,8633.2998,3433,2338,.035999998,.115,.071999997,.030999999,.057,.050000001,2.191,.139,0,10.164486,19.042645,.34353203,.062811859,-.032921158,.25711352,-.38857919,-.2363843,.066966116,.044065997,-.35128608,.010367665,.040654425,-.35505795,.1857293,2467,2173.4099,.88099313,77.318703,.015704213,0,-7,0,0,0,0,0,0,0,0,.33250397
3115,1,Shanghai,2015,193922496,27821.6,8408.7002,4423,3043,.039999999,.121,.064999998,.037999999,.061000001,.057,1.965,.266,0,10.233568,19.08297,.58430135,.23259586,.45694274,.50897962,-.40289018,-.024164131,.38944381,.6851145,-.38768741,.43728006,.15225457,-.28516731,.16700685,2458,2115.78,.86077297,104.35,.016853588,0,-6,0,0,0,0,0,0,0,0,.30223641
3116,1,Shanghai,2016,181333616,30963.9,8570.2002,5144,3798,.039999999,.12800001,.052000001,.055,.064000003,.059,1.789,.264,0,10.340577,19.015848,.75964952,.41442129,.45694274,.80282384,-.42946777,.49122781,.63130224,.86827129,-.41603538,.57411486,.4160291,-.28880024,.14759661,2467,2127.1799,.86225373,134.41,.019426387,0,-5,0,0,0,0,0,0,0,0,.2767804
3117,1,Shanghai,2017,183883760,34378.301,9525.9004,6228,4934,.037,.121,.050000001,.078000002,.063000001,.059,1.849,.164,0,10.445181,19.029814,1.0232798,.68800229,.089545049,.50897962,-.43355665,1.1885228,.55068266,.86827129,-.4063713,.27065447,.94317716,-.32457682,.12367996,2466,2120.5901,.85993105,224.66,.029765675,0,-4,0,0,0,0,0,0,0,0,.27709049
3118,1,Shanghai,2018,188922192,37769.102,10360.8,7335,5421,.041000001,.131,.057,.079999998,.071000002,.061999999,1.813,.26499999,0,10.539247,19.056847,1.2925037,.80528569,.57940894,.92875659,-.41924563,1.2491571,1.1956381,1.1430062,-.41216975,.74487281,.99195659,-.2113294,.13308696,2475,2135.54,.86284447,233.39,.027945751,0,-3,0,0,0,0,0,0,0,0,.27431947
3119,1,Shanghai,2019,196674960,40241.199,10317.1,8838,7331,.046999998,.141,.059,.071000002,.071999997,.068000004,1.5140001,.366,0,10.602647,19.097063,1.6580353,1.2652678,1.3142043,1.3485339,-.41515675,.97630262,1.276257,1.6924769,-.46032906,1.172932,1.135268,-.075654805,.13364752,2481,2144,.86416769,184.0737,.022504866,0,-2,1,0,0,0,0,0,0,0,.25638151
3120,1,Shanghai,2020,193113584,41603.898,10356.7,10179,9166,.052000001,.14300001,.063000001,.068999998,.078000002,.064000003,1.566,.433,0,10.635949,19.078789,1.9841683,1.707188,1.9265344,1.4324894,-.40697905,.91566819,1.7599739,1.3261634,-.45195353,1.3200756,1.4083334,.028797776,.14036244,2488.22,2221.98,.89299983,181.8848,.022449059,0,-1,0,0,0,0,0,0,0,0,.2489358
3121,1,Shanghai,2021,202709664,47059.398,11425.4,11437,8842,.048999999,.15099999,.052000001,.056000002,.078000002,.066,1.431,.34900001,0,10.759166,19.127285,2.2901156,1.6291596,1.5591363,1.7683104,-.42946777,.52154505,1.7599739,1.5093198,-.47369769,1.3534116,1.3728474,.046263289,.12988281,2489,2223,.89312977,159.30099,.018894996,0,0,0,1,0,0,0,0,0,0,.24278679
3122,1,Shanghai,2022,196101248,48594.5,11386.4,11055,7100,.048999999,.156,.052999999,.057,.079000004,.066,1.391,.38100001,0,10.791265,19.094141,2.1972127,1.2096366,1.5591363,1.9781994,-.42742336,.55186218,1.8405935,1.5093198,-.48014039,1.4913507,1.1226276,.0201161,.13729274,2475,2211,.89333332,203.81261,.021697985,0,1,0,0,1,0,0,0,0,0,.23431459
3123,1,Shanghai,2023,205270736,51404.5,11542.9,11219,7742,.050000001,.152,.052999999,.057999998,.079999998,.064999998,1.321,.39300001,0,10.847481,19.139841,2.2370977,1.3642484,1.6816025,1.8102882,-.42742336,.58217931,1.9212124,1.4177412,-.49141517,1.4516376,1.2261995,.02413789,,2487,2225,.89465219,254.97,.026453258,0,2,0,0,0,1,0,0,0,0,.22455038
5300,2,Yunnan,2000,72648408,2052.3,836.20001,27,40,.025,.068000004,.26100001,.015,.034000002,.033,4.0570002,.28400001,0,7.6267166,18.101143,-.48481175,-.49061173,-1.3800464,-1.7158384,-.002181812,-.72145903,-1.7872802,-1.5127664,-.050733332,-1.6753086,-.15694682,-.34872779,,4241,,,,,0,-21,0,0,0,0,0,0,0,0,.40744531
5301,2,Yunnan,2001,75648288,2186.3999,871.40002,42,30,.027000001,.075999998,.229,.016000001,.037,.032000002,3.023,.35100001,0,7.6900115,18.141605,-.48116374,-.49302003,-1.1351144,-1.3800172,-.067603596,-.69114184,-1.5454221,-1.6043446,-.21727757,-1.4799474,-.22243725,-.44228119,,4287.3999,,,,,0,-20,0,0,0,0,0,0,0,0,.39855474
5302,2,Yunnan,2002,79207728,2392,942.09998,46,43,.027000001,.077,.27000001,.018999999,.039999999,.035999998,3.4219999,.38800001,0,7.7798853,18.187584,-.48019093,-.48988923,-1.1351144,-1.3380393,.016218068,-.60019034,-1.303564,-1.2380314,-.15301149,-1.2888415,-.2375394,-.33491117,,4333,,,,,0,-19,0,0,0,0,0,0,0,0,.3938545
5303,2,Yunnan,2003,94204008,2673.6001,1059.8,66,47,.027000001,.077,.228,.018999999,.041000001,.034000002,3.063,.252,0,7.891181,18.360973,-.4753269,-.48892593,-1.1351144,-1.3380393,-.069648027,-.60019034,-1.2229444,-1.4211878,-.21083486,-1.3299803,-.23361343,-.42021129,.63916361,4376,,,,,0,-18,0,0,0,0,0,0,0,0,.39639437
5304,2,Yunnan,2004,109501160,3185.3,1267.8,59,38,.026000001,.082000002,.215,.027000001,.044,.035999998,1.645,.29899999,0,8.0663013,18.511446,-.47702929,-.4910934,-1.2575804,-1.1281507,-.096225619,-.35765296,-.98108631,-1.2380314,-.43922916,-1.2015949,-.22296371,-.54753864,.65106589,4415,,,,,0,-17,0,0,0,0,0,0,0,0,.39801589
5305,2,Yunnan,2005,119960512,3553.3,1387.3,90,38,.028000001,.086000003,.27500001,.02,.046999998,.041000001,1.784,.33899999,0,8.1756325,18.602673,-.46949005,-.4910934,-1.0126485,-.96023983,.026440211,-.56987321,-.73922813,-.78013927,-.4168407,-.86142254,-.37188709,-.39907268,.66423851,4450.3999,1312.87,.29500046,,,0,-16,0,0,0,0,0,0,0,0,.3904258
